row_label_raw,row_label_full,CÁC KHOÀN ĐẦU TƯ TÀI CHÍNH,CÁC KHOÀN ĐẦU TƯ TÀI CHÍNH_1,CÁC KHOÀN ĐẦU TƯ TÀI CHÍNH_2,CÁC KHOÀN ĐẦU TƯ TÀI CHÍNH_3,CÁC KHOÀN ĐẦU TƯ TÀI CHÍNH_4,CÁC KHOÀN ĐẦU TƯ TÀI CHÍNH_5,CÁC KHOÀN ĐẦU TƯ TÀI CHÍNH_6,numeric__CÁC KHOÀN ĐẦU TƯ TÀI CHÍNH_1,numeric__CÁC KHOÀN ĐẦU TƯ TÀI CHÍNH_2,numeric__CÁC KHOÀN ĐẦU TƯ TÀI CHÍNH_3,numeric__CÁC KHOÀN ĐẦU TƯ TÀI CHÍNH_4,numeric__CÁC KHOÀN ĐẦU TƯ TÀI CHÍNH_5,numeric__CÁC KHOÀN ĐẦU TƯ TÀI CHÍNH_6
a) Chứng khoán kinh doanh,a) Chứng khoán kinh doanh,a) Chứng khoán kinh doanh,a) Chứng khoán kinh doanh,a) Chứng khoán kinh doanh,a) Chứng khoán kinh doanh,a) Chứng khoán kinh doanh,a) Chứng khoán kinh doanh,a) Chứng khoán kinh doanh,,,,,,
b) Đầu tư nằm giữ đến ngày đáo hạn,b) Đầu tư nằm giữ đến ngày đáo hạn,b) Đầu tư nằm giữ đến ngày đáo hạn,Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,
b) Đầu tư nằm giữ đến ngày đáo hạn,b) Đầu tư nằm giữ đến ngày đáo hạn,b) Đầu tư nằm giữ đến ngày đáo hạn,Giá gốc,Giá trị ghi số,,Giá gốc,Giá trị ghi số,,,,,,,
b1) Ngắn hạn,b) Đầu tư nằm giữ đến ngày đáo hạn > b1) Ngắn hạn,b1) Ngắn hạn,372.139.724.107,372.139.724.107,,,,,372139724107.0,372139724107.0,,,,
- Tiền gửi có kỳ hạn,b) Đầu tư nằm giữ đến ngày đáo hạn > - Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,372.139.724.107,372.139.724.107,,,,,372139724107.0,372139724107.0,,,,
b2) Dải hạn,b) Đầu tư nằm giữ đến ngày đáo hạn > b2) Dải hạn,b2) Dải hạn,5.110.000.000,,,5.110.000.000,5.110.000.000,,5110000000.0,,,5110000000.0,5110000000.0,
- Tiền gửi có kỳ hạn,b) Đầu tư nằm giữ đến ngày đáo hạn > - Tiền gửi có kỳ hạn,- Tiền gửi có kỳ hạn,5.110.000.000,,,5.110.000.000,5.110.000.000,,5110000000.0,,,5110000000.0,5110000000.0,
Cộng,b) Đầu tư nằm giữ đến ngày đáo hạn > Cộng,Cộng,377.249.724.107,372.139.724.107,,5.110.000.000,5.110.000.000,,377249724107.0,372139724107.0,,5110000000.0,5110000000.0,
"c) Đầu tư vào công ty liên doanh, liên kết","c) Đầu tư vào công ty liên doanh, liên kết","c) Đầu tư vào công ty liên doanh, liên kết",Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,Số đầu năm,,,,,,
"c) Đầu tư vào công ty liên doanh, liên kết","c) Đầu tư vào công ty liên doanh, liên kết","c) Đầu tư vào công ty liên doanh, liên kết",Giá trị đầu tư theo phương pháp vốn chủ sở hữu,Giá hợp lý,Dự phòng,Giá trị đầu tư theo phương pháp vốn chủ sở hữu,Giá hợp lý,Dự phòng,,,,,,
