row_label_raw,row_label_full,col_0,Giá trị số sách > Số cuối năm > Giá trị,Giá trị số sách > Số cuối năm > Dự phòng,Giá trị số sách > Số đầu năm > Giá trị,Giá trị số sách > Số đầu năm > Dự phòng,Giá trị hợp lý > Số cuối năm,Giá trị hợp lý > Số đầu năm,numeric__Giá trị số sách > Số cuối năm > Giá trị,numeric__Giá trị số sách > Số cuối năm > Dự phòng,numeric__Giá trị số sách > Số đầu năm > Giá trị,numeric__Giá trị số sách > Số đầu năm > Dự phòng,numeric__Giá trị hợp lý > Số cuối năm,numeric__Giá trị hợp lý > Số đầu năm
Tài sân tài chính,Tài sân tài chính,Tài sân tài chính,Tài sân tài chính,Tài sân tài chính,Tài sân tài chính,Tài sân tài chính,Tài sân tài chính,Tài sân tài chính,,,,,,
Tiền và các khoản tương đương tiền,Tài sân tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,211.492.893.500,,472.339.566.075,,211.492.893.500,472.339.566.075,211492893500.0,,472339566075.0,,211492893500.0,472339566075.0
Phải thu khách hàng,Tài sân tài chính > Phải thu khách hàng,Phải thu khách hàng,376.373.447.012,,362.280.763.909,,376.373.447.012,362.280.763.909,376373447012.0,,362280763909.0,,376373447012.0,362280763909.0
Trả trước cho người bán,Tài sân tài chính > Trả trước cho người bán,Trả trước cho người bán,843.928.366.079,,1.031.088.521.159,,843.928.366.079,1.031.088.521.159,843928366079.0,,1031088521159.0,,843928366079.0,1031088521159.0
Các khoản phải thu khác,Tài sân tài chính > Các khoản phải thu khác,Các khoản phải thu khác,181.171.332.426,,179.910.469.822,,181.171.332.426,179.910.469.822,181171332426.0,,179910469822.0,,181171332426.0,179910469822.0
Đầu tư tài chính ngắn hạn,Tài sân tài chính > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,372.139.724.107,,,,372.139.724.107,,372139724107.0,,,,372139724107.0,
Đầu tư tài chính dài hạn,Tài sân tài chính > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,890.206.878.902,(2.031.126.510),310.917.841.810,(32.587.954),888.175.752.392,310.885.253.856,890206878902.0,-2031126510.0,310917841810.0,-32587954.0,888175752392.0,310885253856.0
Cộng,Tài sân tài chính > Cộng,Cộng,2.875.312.642.026,(2.031.126.510),2.356.537.162.775,(32.587.954),2.873.281.515.516,2.356.504.574.821,2875312642026.0,-2031126510.0,2356537162775.0,-32587954.0,2873281515516.0,2356504574821.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,
Phải trả cho người bán,Nợ phải trả tài chính > Phải trả cho người bán,Phải trả cho người bán,227.463.170.204,,92.012.376.221,,227.463.170.204,92.012.376.221,227463170204.0,,92012376221.0,,227463170204.0,92012376221.0
Người mua trả tiền trước,Nợ phải trả tài chính > Người mua trả tiền trước,Người mua trả tiền trước,673.515.281.344,,262.021.416.318,,673.515.281.344,262.021.416.318,673515281344.0,,262021416318.0,,673515281344.0,262021416318.0
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,1.128.096.020.469,,990.420.713.406,,1.128.096.020.469,990.420.713.406,1128096020469.0,,990420713406.0,,1128096020469.0,990420713406.0
Phải trả người lao động,Nợ phải trả tài chính > Phải trả người lao động,Phải trả người lao động,478.179.233,,848.661.788,,478.179.233,848.661.788,478179233.0,,848661788.0,,478179233.0,848661788.0
Trái phiếu chuyển đổi,Trái phiếu chuyển đổi,Trái phiếu chuyển đổi,Trái phiếu chuyển đổi,Trái phiếu chuyển đổi,Trái phiếu chuyển đổi,Trái phiếu chuyển đổi,Trái phiếu chuyển đổi,Trái phiếu chuyển đổi,,,,,,
Các khoản phải trả khác,Trái phiếu chuyển đổi > Các khoản phải trả khác,Các khoản phải trả khác,66.703.611.103,,60.006.249.474,,66.703.611.103,60.006.249.474,66703611103.0,,60006249474.0,,66703611103.0,60006249474.0
Cộng,Trái phiếu chuyển đổi > Cộng,Cộng,2.096.256.262.353,,1.405.309.417.207,,2.096.256.262.353,1.405.309.417.207,2096256262353.0,,1405309417207.0,,2096256262353.0,1405309417207.0
