row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết mình,Số cuối năm,Số đầu năm,numeric__TÀI SẢN,numeric__Thuyết mình,numeric__Số cuối năm,numeric__Số đầu năm
100,100,100,A. TÀI SẢN NGĂN HẠN,,3.250.054.375.296,3.057.128.120.453,,,3250054375296.0,3057128120453.0
110,110,110,I. Tiền và các khoản tương đương tiền,V.01,211.492.893.500,472.339.566.075,,,211492893500.0,472339566075.0
111,111,111,1. Tiền,,52.392.893.500,80.142.651.139,,,52392893500.0,80142651139.0
112,112,112,2. Các khoản tương đương tiền,,159.100.000.000,392.196.914.936,,,159100000000.0,392196914936.0
120,120,120,II. Đầu tư tài chính ngắn hạn,V.02,372.139.724.107,,,,372139724107.0,
121,121,121,1. Chứng khoán kinh doanh,,,,,,,
122,122,122,2. Dự phòng giảm giá chứng khoán kinh doanh (*),,,,,,,
123,122 > 123,123,3. Đầu tư nằm giữ đến ngày đáo hạn,,372.139.724.107,,,,372139724107.0,
130,122 > 130,130,III. Các khoản phải thu ngắn hạn,,1.400.216.781.606,1.572.441.057.813,,,1400216781606.0,1572441057813.0
131,122 > 131,131,1. Phải thu ngắn hạn của khách hàng,V.03,376.373.447.012,362.280.763.909,,,376373447012.0,362280763909.0
132,122 > 132,132,2. Trà trước cho người bán ngắn hạn,,843.883.866.079,1.031.044.021.159,,,843883866079.0,1031044021159.0
133,133,133,3. Phải thu nội bộ ngắn hạn,,,,,,,
134,134,134,4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,,
135,134 > 135,135,5. Phải thu về cho vay ngắn hạn,V.04,1.000.000.000,,,,1000000000.0,
136,134 > 136,136,6. Phải thu ngắn hạn khác,V.05,178.953.787.323,179.106.631.938,,,178953787323.0,179106631938.0
137,137,137,7. Dự phòng phải thu ngắn hạn khó đòi (*),,,,,,,
139,137 > 139,139,8. Tài sản thiếu chờ xử lý,V.06,5.681.192,9.640.807,,,5681192.0,9640807.0
140,137 > 140,140,IV. Hàng tồn kho,V.07,1.259.337.702.182,1.005.217.662.090,,,1259337702182.0,1005217662090.0
141,137 > 141,141,1. Hàng tồn kho,,1.259.337.702.182,1.005.217.662.090,,,1259337702182.0,1005217662090.0
149,149,149,2. Dự phòng giảm giá hàng tồn kho (*),,,,,,,
150,149 > 150,150,V. Tài sản ngắn hạn khác,,6.867.273.901,7.129.834.475,,,6867273901.0,7129834475.0
151,149 > 151,151,1. Chỉ phí trả trước ngắn hạn,V.12,310.228.827,192.002.512,,,310228827.0,192002512.0
152,149 > 152,152,2. Thuế GTGT được khấu trừ,,3.327.565.329,4.541.991.861,,,3327565329.0,4541991861.0
153,149 > 153,153,3. Thuế và các khoản khác phải thu Nhà nước,V.15,3.229.479.745,2.395.840.102,,,3229479745.0,2395840102.0
154,154,154,4. Giao dịch mua bán lại trải phiếu Chính phủ,,,,,,,
155,155,155,5. Tài sản ngắn hạn khác,,,,,,,
