row_label_raw,row_label_full,b) Vay dài hạn > Trên 1 năm đến 5 năm,Số cuối năm > Giá trị > 520.527.060.604,Số cuối năm > Số có khả năngtrà nợ > 520.527.060.604,Trong năm > Tăng > 275.398.099.046,Trong năm > Giảm > 274.867.005.642,Số đầu năm > Giá trị > 519.995.967.200,Số đầu năm > Số có khả năngtrà nợ > 519.995.967.200,numeric__Số cuối năm > Giá trị > 520.527.060.604,numeric__Số cuối năm > Số có khả năngtrà nợ > 520.527.060.604,numeric__Trong năm > Tăng > 275.398.099.046,numeric__Trong năm > Giảm > 274.867.005.642,numeric__Số đầu năm > Giá trị > 519.995.967.200,numeric__Số đầu năm > Số có khả năngtrà nợ > 519.995.967.200
- VND,- VND,- VND,520.527.060.604,520.527.060.604,275.398.099.046,274.867.005.642,519.995.967.200,519.995.967.200,520527060604.0,520527060604.0,275398099046.0,274867005642.0,519995967200.0,519995967200.0
Trên 5 năm,Trên 5 năm,Trên 5 năm,6.865.130.000,6.865.130.000,,1.300.000.000,8.165.130.000,8.165.130.000,6865130000.0,6865130000.0,,1300000000.0,8165130000.0,8165130000.0
- Ngân hàng Ngoại thươngAn Giang,- Ngân hàng Ngoại thươngAn Giang,- Ngân hàng Ngoại thươngAn Giang,6.865.130.000,6.865.130.000,,1.300.000.000,8.165.130.000,8.165.130.000,6865130000.0,6865130000.0,,1300000000.0,8165130000.0,8165130000.0
Cộng,Cộng,Cộng,527.392.190.604,527.392.190.604,275.398.099.046,276.167.005.642,528.161.097.200,528.161.097.200,527392190604.0,527392190604.0,275398099046.0,276167005642.0,528161097200.0,528161097200.0
14 . PHẢI TRẢ NGƯỜI BÁN,14 . PHẢI TRẢ NGƯỜI BÁN,14 . PHẢI TRẢ NGƯỜI BÁN,14 . PHẢI TRẢ NGƯỜI BÁN,14 . PHẢI TRẢ NGƯỜI BÁN,Số cuối năm,Số cuối năm,Số đầu năm,Số đầu năm,,,,,,
14 . PHẢI TRẢ NGƯỜI BÁN,14 . PHẢI TRẢ NGƯỜI BÁN,14 . PHẢI TRẢ NGƯỜI BÁN,14 . PHẢI TRẢ NGƯỜI BÁN,14 . PHẢI TRẢ NGƯỜI BÁN,Giá trị,Số có khả năngtrà nợ,Giá trị,Số có khả năngtrà nợ,,,,,,
a) Ngắn hạn,14 . PHẢI TRẢ NGƯỜI BÁN > a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,227.133.493.515,227.133.493.515,91.682.699.532,91.682.699.532,,,227133493515.0,227133493515.0,91682699532.0,91682699532.0
+ Cty CP Seatecco,14 . PHẢI TRẢ NGƯỜI BÁN > + Cty CP Seatecco,+ Cty CP Seatecco,+ Cty CP Seatecco,+ Cty CP Seatecco,29.703.496.630,29.703.496.630,26.204.839.780,26.204.839.780,,,29703496630.0,29703496630.0,26204839780.0,26204839780.0
+ Công ty CP Đầu tư DL & PT Thủy Sản,14 . PHẢI TRẢ NGƯỜI BÁN > + Công ty CP Đầu tư DL & PT Thủy Sản,+ Công ty CP Đầu tư DL & PT Thủy Sản,+ Công ty CP Đầu tư DL & PT Thủy Sản,+ Công ty CP Đầu tư DL & PT Thủy Sản,,,4.955.169.750,4.955.169.750,,,,,4955169750.0,4955169750.0
+ Công ty TNHH MTV Toàn Cầu,14 . PHẢI TRẢ NGƯỜI BÁN > + Công ty TNHH MTV Toàn Cầu,+ Công ty TNHH MTV Toàn Cầu,+ Công ty TNHH MTV Toàn Cầu,+ Công ty TNHH MTV Toàn Cầu,3.184.181.262,3.184.181.262,10.868.191.594,10.868.191.594,,,3184181262.0,3184181262.0,10868191594.0,10868191594.0
