row_label_raw,row_label_full,12. CHI PHÍ TRÀ TRUỐC,12. CHI PHÍ TRÀ TRUỐC_1,12. CHI PHÍ TRÀ TRUỐC_2,12. CHI PHÍ TRÀ TRUỐC_3,12. CHI PHÍ TRÀ TRUỐC_4,12. CHI PHÍ TRÀ TRUỐC_5,12. CHI PHÍ TRÀ TRUỐC_6,numeric__12. CHI PHÍ TRÀ TRUỐC_1,numeric__12. CHI PHÍ TRÀ TRUỐC_2,numeric__12. CHI PHÍ TRÀ TRUỐC_3,numeric__12. CHI PHÍ TRÀ TRUỐC_4,numeric__12. CHI PHÍ TRÀ TRUỐC_5,numeric__12. CHI PHÍ TRÀ TRUỐC_6
,,,,,Số cuối năm,Số đầu năm,,,,,,,,
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,310.228.827,192.002.512,,,,,310228827.0,192002512.0,,
"Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng",310.228.827,192.002.512,,,,,310228827.0,192002512.0,,
Các khoản khác,Các khoản khác,Các khoản khác,Các khoản khác,Các khoản khác,,,,,,,,,,
b) Dài hạn,Các khoản khác > b) Dài hạn,b) Dài hạn,b) Dài hạn,b) Dài hạn,48.930.639.114,18.551.828.763,,,,,48930639114.0,18551828763.0,,
"Công cụ, dụng cụ xuất dùng","Các khoản khác > Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng",11.051.905.627,5.345.311.528,,,,,11051905627.0,5345311528.0,,
Các khoản khác,Các khoản khác > Các khoản khác,Các khoản khác,Các khoản khác,Các khoản khác,37.878.733.487,13.206.517.235,,,,,37878733487.0,13206517235.0,,
d) Tài sản thuế thu nhập hoãn lại,Các khoản khác > d) Tài sản thuế thu nhập hoãn lại,d) Tài sản thuế thu nhập hoãn lại,d) Tài sản thuế thu nhập hoãn lại,d) Tài sản thuế thu nhập hoãn lại,5.998.306.437,,,,,,5998306437.0,,,
Thuế thu nhập hoãn lại của Công ty Du Lịch An Giang,Các khoản khác > Thuế thu nhập hoãn lại của Công ty Du Lịch An Giang,Thuế thu nhập hoãn lại của Công ty Du Lịch An Giang,Thuế thu nhập hoãn lại của Công ty Du Lịch An Giang,Thuế thu nhập hoãn lại của Công ty Du Lịch An Giang,5.998.306.437,,,,,,5998306437.0,,,
c) Lợi thế thương mại,Các khoản khác > c) Lợi thế thương mại,c) Lợi thế thương mại,c) Lợi thế thương mại,c) Lợi thế thương mại,299.038.310.915,278.142.587.058,,,,,299038310915.0,278142587058.0,,
Giá trị LTTM phát sinh từ việc mua Công ty con,Các khoản khác > Giá trị LTTM phát sinh từ việc mua Công ty con,Giá trị LTTM phát sinh từ việc mua Công ty con,Giá trị LTTM phát sinh từ việc mua Công ty con,Giá trị LTTM phát sinh từ việc mua Công ty con,299.038.310.915,278.142.587.058,,,,,299038310915.0,278142587058.0,,
Cộng,Các khoản khác > Cộng,Cộng,Cộng,Cộng,354.277.485.293,296.886.418.333,,,,,354277485293.0,296886418333.0,,
13. VAY VÀ NỘ THUÊ TÀI CHÍNH,13. VAY VÀ NỘ THUÊ TÀI CHÍNH,13. VAY VÀ NỘ THUÊ TÀI CHÍNH,13. VAY VÀ NỘ THUÊ TÀI CHÍNH,13. VAY VÀ NỘ THUÊ TÀI CHÍNH,13. VAY VÀ NỘ THUÊ TÀI CHÍNH,13. VAY VÀ NỘ THUÊ TÀI CHÍNH,13. VAY VÀ NỘ THUÊ TÀI CHÍNH,13. VAY VÀ NỘ THUÊ TÀI CHÍNH,,,,,,
a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,Số cuối năm,Số cuối năm,Trong năm,Trong năm,Số đầu năm,Số đầu năm,,,,,,
a) Vay ngắn hạn,a) Vay ngắn hạn,a) Vay ngắn hạn,Giá trị,Số có khả năng trả nợ,Tăng,Giảm,Giá trị,Số có khả năng trả nợ,,,,,,
Vay ngắn hạn - VND,a) Vay ngắn hạn > Vay ngắn hạn - VND,Vay ngắn hạn - VND,600.703.829.865,600.703.829.865,1.149.972.739.140,1.011.528.525.481,462.259.616.206,462.259.616.206,600703829865.0,600703829865.0,1149972739140.0,1011528525481.0,462259616206.0,462259616206.0
Vay ngắn hạn - USD,Vay ngắn hạn - USD,Vay ngắn hạn - USD,,,,,,,,,,,,
Cộng,Vay ngắn hạn - USD > Cộng,Cộng,600.703.829.865,600.703.829.865,1.149.972.739.140,1.011.528.525.481,462.259.616.206,462.259.616.206,600703829865.0,600703829865.0,1149972739140.0,1011528525481.0,462259616206.0,462259616206.0
