row_label_raw,row_label_full,col_0,Gía trị,Dự phòng,Gía trị_1,Dự phòng_1,numeric__Gía trị,numeric__Dự phòng,numeric__Gía trị_1,numeric__Dự phòng_1
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,178.953.787.323,,179.106.631.938,,178953787323.0,,179106631938.0,
Tạm ứng,Tạm ứng,Tạm ứng,133.141.274.230,,112.831.483.035,,133141274230.0,,112831483035.0,
Phải thu người lao động,Phải thu người lao động,Phải thu người lao động,1.793.523.271,,,,1793523271.0,,,
"Ký cược, ký quỹ","Ký cược, ký quỹ","Ký cược, ký quỹ",1.568.000.000,,547.680.000,,1568000000.0,,547680000.0,
Các khoản chi hộ,Các khoản chi hộ,Các khoản chi hộ,,,,,,,,
Phải thu khác,Các khoản chi hộ > Phải thu khác,Phải thu khác,42.450.989.822,,65.727.468.903,,42450989822.0,,65727468903.0,
b) Dải hạn,Các khoản chi hộ > b) Dải hạn,b) Dải hạn,2.217.545.103,,803.837.884,,2217545103.0,,803837884.0,
"Ký cược, ký quỹ","Các khoản chi hộ > Ký cược, ký quỹ","Ký cược, ký quỹ",2.217.545.103,,,,2217545103.0,,,
Phải thu khác,Các khoản chi hộ > Phải thu khác,Phải thu khác,,,803.837.884,,,,803837884.0,
Cộng,Các khoản chi hộ > Cộng,Cộng,181.171.332.426,,179.910.469.822,,181171332426.0,,179910469822.0,
