row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Các khoản phải thu (VND),numeric__Nội dung nghiệp vụ,numeric__Các khoản phải thu (VND)
+ Công ty CP Đầu tư và Phát triển Đa Quốc Gia IDI,+ Công ty CP Đầu tư và Phát triển Đa Quốc Gia IDI,+ Công ty CP Đầu tư và Phát triển Đa Quốc Gia IDI,+ Công ty CP Đầu tư và Phát triển Đa Quốc Gia IDI,+ Công ty CP Đầu tư và Phát triển Đa Quốc Gia IDI,,
,,,Tiền Ủy thác nhập khẩu,28.606.302.250,,28606302250.0
,,,Phải thu tiền Ủy thác xuất khẩu,5.488.528.979,,5488528979.0
