row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Giá trị giao dịch (VND),numeric__Nội dung nghiệp vụ,numeric__Giá trị giao dịch (VND)
+ Công ty CP Đầu tư và Phát triển Đa Quốc Gia IDI,+ Công ty CP Đầu tư và Phát triển Đa Quốc Gia IDI,+ Công ty CP Đầu tư và Phát triển Đa Quốc Gia IDI,+ Công ty CP Đầu tư và Phát triển Đa Quốc Gia IDI,+ Công ty CP Đầu tư và Phát triển Đa Quốc Gia IDI,,
,,,Bán cá nguyên liệu,8.045.154.708,,8045154708.0
,,,Bán thức ăn cá,258.424.100.302,,258424100302.0
,,,Tổng thầu Xây dựng nhà máy thức ăn,255.140.255.328,,255140255328.0
,,,Bán bột cá,3.897.660.000,,3897660000.0
,,,Mua Cá Tra fillet,45.735.398.000,,45735398000.0
,,,Mua nguyên liệu chế biến thức ăn cho cá,83.826.491.738,,83826491738.0
,,,Chi hộ phí hoa hồng,289.672.800,,289672800.0
,,,Chi hộ phí ủy thác xuất khẩu,421.891.508,,421891508.0
,,,Chi hộ tiền bảo hiểm,125.580.000,,125580000.0
