row_label_raw,row_label_full,Số cuối năm,Số đầu năm,numeric__Số đầu năm
51.598.658.406,51.598.658.406,51.598.658.406,51.697.679.793,51697679793.0
1.147.923.083,1.147.923.083,1.147.923.083,1.147.923.083,1147923083.0
1.653.591.160,1.653.591.160,1.653.591.160,1.653.591.160,1653591160.0
47.380.200.000,47.380.200.000,47.380.200.000,47.380.200.000,47380200000.0
462.649.706,462.649.706,462.649.706,462.649.706,462649706.0
882.034.099,882.034.099,882.034.099,882.034.099,882034099.0
,,,73.535.298,73535298.0
48.260.358,48.260.358,48.260.358,,
24.000.000,48.260.358 > 24.000.000,24.000.000,97.746.447,97746447.0
51.598.658.406,48.260.358 > 51.598.658.406,51.598.658.406,51.697.679.793,51697679793.0
