row_label_raw,row_label_full,c) Ngoại tệ các loại,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
- Dollar Mỹ (USD),- Dollar Mỹ (USD),- Dollar Mỹ (USD),"21.060,48","11.913,00",21060.48,11913.0
- Bảng Anh (EUR),- Bảng Anh (EUR),- Bảng Anh (EUR),"881,31",,881.31,
- Đô la Hồng Kông (HKD),- Đô la Hồng Kông (HKD),- Đô la Hồng Kông (HKD),,,,
- Nhân dân tệ (CNY),- Nhân dân tệ (CNY),- Nhân dân tệ (CNY),,,,
