row_label_raw,row_label_full,07. HÀNG TỔN KHO,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
07. HÀNG TỔN KHO,07. HÀNG TỔN KHO,07. HÀNG TỔN KHO,Giá gốc,Dự phòng,Giá gốc,Dự phòng,,,,
- Hàng đang đi đường,- Hàng đang đi đường,- Hàng đang đi đường,,,,,,,,
"- Nguyên liệu, vật liệu","- Hàng đang đi đường > - Nguyên liệu, vật liệu","- Nguyên liệu, vật liệu",43.259.742.925,,1.000.922.558,,43259742925.0,,1000922558.0,
"- Công cụ, dụng cụ","- Hàng đang đi đường > - Công cụ, dụng cụ","- Công cụ, dụng cụ",4.523.509.705,,,,4523509705.0,,,
- Chi phí sản xuất kinh doanh dở dang,- Hàng đang đi đường > - Chi phí sản xuất kinh doanh dở dang,- Chi phí sản xuất kinh doanh dở dang,174.743.579.468,,86.700.840.433,,174743579468.0,,86700840433.0,
- Thành phẩm,- Hàng đang đi đường > - Thành phẩm,- Thành phẩm,32.463.927.804,,139.000.000,,32463927804.0,,139000000.0,
- Hàng hóa,- Hàng đang đi đường > - Hàng hóa,- Hàng hóa,1.004.330.201.488,,917.360.159.099,,1004330201488.0,,917360159099.0,
- Hàng gửi di bán,- Hàng đang đi đường > - Hàng gửi di bán,- Hàng gửi di bán,16.740.792,,16.740.000,,16740792.0,,16740000.0,
- Hàng hóa kho bảo thuế,- Hàng hóa kho bảo thuế,- Hàng hóa kho bảo thuế,,,,,,,,
Cộng,- Hàng hóa kho bảo thuế > Cộng,Cộng,1.259.337.702.182,,1.005.217.662.090,,1259337702182.0,,1005217662090.0,
