row_label_raw,row_label_full,Số cuối năm,Số đầu năm,numeric__Số đầu năm
64.303.112.084,64.303.112.084,64.303.112.084,56.978.712.455,56978712455.0
5.143.773,5.143.773,5.143.773,,
332.790.400,5.143.773 > 332.790.400,332.790.400,111.774.000,111774000.0
313.252.333,5.143.773 > 313.252.333,313.252.333,333.769.701,333769701.0
38.201.381,5.143.773 > 38.201.381,38.201.381,102.564.221,102564221.0
22.665.643,5.143.773 > 22.665.643,22.665.643,23.734.000,23734000.0
1.064.198.425,5.143.773 > 1.064.198.425,1.064.198.425,1.205.435.425,1205435425.0
62.526.860.129,5.143.773 > 62.526.860.129,62.526.860.129,55.201.435.108,55201435108.0
24.000.000.000,24.000.000.000,24.000.000.000,,
20.003.418.200,20.003.418.200,20.003.418.200,,
3.004.118.969,3.004.118.969,3.004.118.969,,
13.377.322.960,3.004.118.969 > 13.377.322.960,13.377.322.960,55.201.435.108,55201435108.0
2.400.499.019,3.004.118.969 > 2.400.499.019,2.400.499.019,3.027.537.019,3027537019.0
500.000.000,3.004.118.969 > 500.000.000,500.000.000,500.000.000,500000000.0
1.900.499.019,3.004.118.969 > 1.900.499.019,1.900.499.019,2.527.537.019,2527537019.0
66.703.611.103,3.004.118.969 > 66.703.611.103,66.703.611.103,60.006.249.474,60006249474.0
