row_label_raw,row_label_full,"Giá trị còn lại TSCĐ và chi phí thanh lý, nhượng bán TSCĐ","Năm nay > Giá trị còn lại TSCĐ và chi phí thanh lý, nhượng bán TSCĐ","Năm trước > Giá trị còn lại TSCĐ và chi phí thanh lý, nhượng bán TSCĐ","numeric__Năm nay > Giá trị còn lại TSCĐ và chi phí thanh lý, nhượng bán TSCĐ","numeric__Năm trước > Giá trị còn lại TSCĐ và chi phí thanh lý, nhượng bán TSCĐ"
Các khoản bị phạt,Các khoản bị phạt,Các khoản bị phạt,3.371.827.384,1.963.630.773,3371827384.0,1963630773.0
Các khoản khác,Các khoản khác,Các khoản khác,1.447.118.973,28.548.999,1447118973.0,28548999.0
Cộng,Cộng,Cộng,4.818.946.357,1.992.179.772,4818946357.0,1992179772.0
