row_label_raw,row_label_full,col_0,Vốn góp của CSH,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Quỹ khác thuộc VCSH,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn góp của CSH,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc VCSH,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,1.072.877.400.000,45.057.080.000,23.304.431.230,4.971.647.795,120.995.887.650,10.503.450.465,1.277.709.897.140,1072877400000.0,45057080000.0,23304431230.0,4971647795.0,120995887650.0,10503450465.0,1277709897140.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,1.126.521.270.000,,,,,,1.126.521.270.000,1126521270000.0,,,,,,1126521270000.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,,,,,,,,,,,,,,
Lãi trong năm trước,Lợi ích cổ đông không kiểm soát > Lãi trong năm trước,Lãi trong năm trước,,,,,85.631.155.321,220.109.418,85.851.264.739,,,,,85631155321.0,220109418.0,85851264739.0
Tăng do trích lập từ lợi nhuận,Lợi ích cổ đông không kiểm soát > Tăng do trích lập từ lợi nhuận,Tăng do trích lập từ lợi nhuận,,,6.437.194.708,,,1.202.100.054,7.639.294.762,,,6437194708.0,,,1202100054.0,7639294762.0
Giảm vốn trong năm trước,Giảm vốn trong năm trước,Giảm vốn trong năm trước,,,,,,,,,,,,,,
Trích quỹ từ lợi nhuận,Giảm vốn trong năm trước > Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,,,,,(7.918.659.377),,(7.918.659.377),,,,,-7918659377.0,,-7918659377.0
Chia cổ tức,Giảm vốn trong năm trước > Chia cổ tức,Chia cổ tức,,,,,(53.643.870.000),,(53.643.870.000),,,,,-53643870000.0,,-53643870000.0
Thù lao hội đồng quản trị,Thù lao hội đồng quản trị,Thù lao hội đồng quản trị,,,,,,,,,,,,,,
Giảm khác,Thù lao hội đồng quản trị > Giảm khác,Giảm khác,,(880.000),,,,,(880.000),,-880000.0,,,,,-880000.0
Số dư đầu năm nay,Thù lao hội đồng quản trị > Số dư đầu năm nay,Số dư đầu năm nay,2.199.398.670.000,45.056.200.000,29.741.625.938,4.971.647.795,145.064.513.594,11.925.659.937,2.436.158.317.264,2199398670000.0,45056200000.0,29741625938.0,4971647795.0,145064513594.0,11925659937.0,2436158317264.0
Tăng vốn trong năm nay,Tăng vốn trong năm nay,Tăng vốn trong năm nay,,,,,,,,,,,,,,
Góp vốn từ cổ đông không kiểm soát,Góp vốn từ cổ đông không kiểm soát,Góp vốn từ cổ đông không kiểm soát,,,,,,,,,,,,,,
Lãi trong năm nay,Góp vốn từ cổ đông không kiểm soát > Lãi trong năm nay,Lãi trong năm nay,,,,,173.116.771.924,667.963.566,173.784.735.491,,,,,173116771924.0,667963566.0,173784735491.0
Tăng do trích từ lợi nhuận,Tăng do trích từ lợi nhuận,Tăng do trích từ lợi nhuận,,,,,,,,,,,,,,
Tăng khác,Tăng do trích từ lợi nhuận > Tăng khác,Tăng khác,,48.000.000,23.937.898.719,,,26.743.071.373,50.728.970.092,,48000000.0,23937898719.0,,,26743071373.0,50728970092.0
Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,,,,,,,,,,,,,,
Chia cổ tức,Chia cổ tức,Chia cổ tức,,,,,,,,,,,,,,
Thù lao hội đồng quản trị,Thù lao hội đồng quản trị,Thù lao hội đồng quản trị,,,,,,,,,,,,,,
Giảm khác,Thù lao hội đồng quản trị > Giảm khác,Giảm khác,,,,,(16.098.138.593),,(16.098.138.593),,,,,-16098138593.0,,-16098138593.0
Số dư cuối năm nay,Thù lao hội đồng quản trị > Số dư cuối năm nay,Số dư cuối năm nay,2.199.398.670.000,45.104.200.000,53.679.524.657,4.971.647.795,302.083.146.925,39.336.694.876,2.644.573.884.253,2199398670000.0,45104200000.0,53679524657.0,4971647795.0,302083146925.0,39336694876.0,2644573884253.0
