row_label_raw,row_label_full,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng
Trên 3 tháng,Trên 3 tháng,Trên 3 tháng,Đến 3 tháng,Đến 1 tháng,Từ 1 - 3 tháng,Từ 3 - 12 tháng,Từ 1 - 5 năm,Trên 5 năm,Tổng,,,,,,,
-,Trên 3 tháng > -,-,-,1.917.860,-,-,-,-,1.917.860,,1917860.0,,,,,1917860.0
-,Trên 3 tháng > -,-,-,4.362.518,-,-,-,-,4.362.518,,4362518.0,,,,,4362518.0
5.137,Trên 3 tháng > 5.137,5.137,-,23.027.209,5.673.500,1.093.000,-,-,29.798.846,,23027209.0,5673500.0,1093000.0,,,29798846.0
-,Trên 3 tháng > -,-,-,70.927,-,-,-,-,70.927,,70927.0,,,,,70927.0
2.373.791,Trên 3 tháng > 2.373.791,2.373.791,1.812.968,8.573.588,13.767.222,24.854.623,42.715.336,37.329.665,131.427.193,1812968.0,8573588.0,13767222.0,24854623.0,42715336.0,37329665.0,131427193.0
-,Trên 3 tháng > -,-,-,200.428,1.392.520,2.201.134,11.500.217,2.585.077,17.879.376,,200428.0,1392520.0,2201134.0,11500217.0,2585077.0,17879376.0
-,Trên 3 tháng > -,-,-,-,-,-,-,313.397,313.397,,,,,,313397.0,313397.0
-,Trên 3 tháng > -,-,-,3.619.029,243,8.694,213.551,214.749,4.056.266,,3619029.0,243.0,8694.0,213551.0,214749.0,4056266.0
-,Trên 3 tháng > -,-,1.048.584,15.325.845,7.988,118.966,440.020,5.776,16.947.179,1048584.0,15325845.0,7988.0,118966.0,440020.0,5776.0,16947179.0
2.378.928,Trên 3 tháng > 2.378.928,2.378.928,2.861.552,57.097.404,20.841.473,28.276.417,54.869.124,40.448.664,206.773.562,2861552.0,57097404.0,20841473.0,28276417.0,54869124.0,40448664.0,206773562.0
-,Trên 3 tháng > -,-,-,22.806.164,8.204.433,1.138.931,216.420,4.750,32.370.698,,22806164.0,8204433.0,1138931.0,216420.0,4750.0,32370698.0
-,Trên 3 tháng > -,-,-,54.966.012,32.387.676,57.124.807,4.348.147,2.234,148.828.876,,54966012.0,32387676.0,57124807.0,4348147.0,2234.0,148828876.0
-,Trên 3 tháng > -,-,-,100.011,-,-,-,-,100.011,,100011.0,,,,,100011.0
-,Trên 3 tháng > -,-,-,6.090,12.044,76.906,300.305,19.287,414.632,,6090.0,12044.0,76906.0,300305.0,19287.0,414632.0
-,Trên 3 tháng > -,-,-,31.200,1.670.000,4.352.635,1.205.613,1.000.000,8.259.448,,31200.0,1670000.0,4352635.0,1205613.0,1000000.0,8259448.0
-,Trên 3 tháng > -,-,-,3.472.713,-,-,-,-,3.472.713,,3472713.0,,,,,3472713.0
-,Trên 3 tháng > -,-,-,81.382.190,42.274.153,62.693.279,6.070.485,1.026.271,193.446.378,,81382190.0,42274153.0,62693279.0,6070485.0,1026271.0,193446378.0
2.378.928,Trên 3 tháng > 2.378.928,2.378.928,2.861.552,(24.284.786),(21.432.680),(34.416.862),48.798.639,39.422.393,13.327.184,2861552.0,-24284786.0,-21432680.0,-34416862.0,48798639.0,39422393.0,13327184.0
