row_label_raw,row_label_full,Tài sản
"Tiền mặt, vàng","Tiền mặt, vàng","Tiền mặt, vàng"
Tiền gửi tại NHNN,Tiền gửi tại NHNN,Tiền gửi tại NHNN
Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*),Tiền gửi tại và cho vay các TCTD khác (*)
Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*),Chứng khoán kinh doanh (*)
Cho vay khách hàng (*),Cho vay khách hàng (*),Cho vay khách hàng (*)
Chứng khoán đầu tư (*),Chứng khoán đầu tư (*),Chứng khoán đầu tư (*)
"Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)","Góp vốn, đầu tư dài hạn (*)"
Tài sản cố định và bắt động sản đầu tư,Tài sản cố định và bắt động sản đầu tư,Tài sản cố định và bắt động sản đầu tư
Tài sản Có khác (*),Tài sản Có khác (*),Tài sản Có khác (*)
Tổng tài sản,Tổng tài sản,Tổng tài sản
Nợ phải trả,Nợ phải trả,Nợ phải trả
Tiền gửi của và vay từ NHNN và các TCTD khác,Tiền gửi của và vay từ NHNN và các TCTD khác,Tiền gửi của và vay từ NHNN và các TCTD khác
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng
Các công cụ tài chính phải sinh và các khoản,Các công cụ tài chính phải sinh và các khoản,Các công cụ tài chính phải sinh và các khoản
nợ tài chính khác,nợ tài chính khác,nợ tài chính khác
"Vốn tài trợ, uy thác đầu tư, cho vay chịu rủi ro","Vốn tài trợ, uy thác đầu tư, cho vay chịu rủi ro","Vốn tài trợ, uy thác đầu tư, cho vay chịu rủi ro"
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá
Các khoản nợ khác,Các khoản nợ khác,Các khoản nợ khác
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả
Mức chênh lệch thanh khoản ròng,Mức chênh lệch thanh khoản ròng,Mức chênh lệch thanh khoản ròng
(*) Không bao gồm dự phòng rủi ro,(*) Không bao gồm dự phòng rủi ro,(*) Không bao gồm dự phòng rủi ro
