row_label_raw,row_label_full,Nhóm,Loại,Tỷ lệ dư phong cư thể,numeric__Loại,numeric__Tỷ lệ dư phong cư thể
1,1,1,Nợ đủ tiêu chuẩn,0%,,0.0
2,2,2,Nợ cần chú ý,0%,,0.0
3,3,3,Nợ dưới tiêu chuẩn,20%,,0.2
4,4,4,Nợ nghi ngờ,50%,,0.5
5,5,5,Nợ có khả năng mất vốn,100%,,1.0
