row_label_raw,row_label_full,col_0,31/12/2015%/năm,31/12/2014%/năm,numeric__31/12/2015%/năm,numeric__31/12/2014%/năm
Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,"3,90% - 5,40%","3,20% - 5,97%",,
Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi có kỳ hạn bằng ngoại tệ,"0,15% - 1,20%",Không có,,
Cho vay bằng VND,Cho vay bằng VND,Cho vay bằng VND,"3,80% - 6,50%","3,40% - 4,70%",,
Cho vay bằng ngoại tệ,Cho vay bằng VND > Cho vay bằng ngoại tệ,Cho vay bằng ngoại tệ,Không có,"0,40%",,0.004
