row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcriệu VND",Máy mócthiết bịtriệu VND,Phương tiệnvận tàitriệu VND,Thiết bịvăn phòngtriệu VND,TSCĐ hữuhình kháctriệu VND,Tổng cộngtriệu VND,"numeric__Nhà cửa,vật kiến trúcriệu VND",numeric__Máy mócthiết bịtriệu VND,numeric__Phương tiệnvận tàitriệu VND,numeric__Thiết bịvăn phòngtriệu VND,numeric__TSCĐ hữuhình kháctriệu VND,numeric__Tổng cộngtriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,192.365,279.964,147.263,81.933,22.051,723.576,192365.0,279964.0,147263.0,81933.0,22051.0,723576.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,122,34,24,31,-,211,122.0,34.0,24.0,31.0,,211.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,10.213,21.162,17.301,4.825,4.108,57.609,10213.0,21162.0,17301.0,4825.0,4108.0,57609.0
Phân loại lại TSCĐ,Nguyên giá > Phân loại lại TSCĐ,Phân loại lại TSCĐ,-,(23),-,23,-,-,,-23.0,,23.0,,
Tăng do hoàn thành mua sắm tài sản cố định,Nguyên giá > Tăng do hoàn thành mua sắm tài sản cố định,Tăng do hoàn thành mua sắm tài sản cố định,-,-,6.149,-,-,6.149,,,6149.0,,,6149.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,-,3,133,84,89,309,,3.0,133.0,84.0,89.0,309.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(358),(4.149),(1.168),(2.088),(1.729),(9.492),-358.0,-4149.0,-1168.0,-2088.0,-1729.0,-9492.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,202.342,296.991,169.702,84.808,24.519,778.362,202342.0,296991.0,169702.0,84808.0,24519.0,778362.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,38.610,142.238,69.012,52.985,14.782,317.627,38610.0,142238.0,69012.0,52985.0,14782.0,317627.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,11.195,38.790,17.875,12.898,4.090,84.848,11195.0,38790.0,17875.0,12898.0,4090.0,84848.0
Tăng khác,Giá trị hao mòn luỹ kế > Tăng khác,Tăng khác,-,(6),-,6,141,141,,-6.0,,6.0,141.0,141.0
"Thanh lý, nhượng bán","Giá trị hao mòn luỹ kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(328),(3.379),(1.066),(1.949),(1.438),(8.160),-328.0,-3379.0,-1066.0,-1949.0,-1438.0,-8160.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,49.477,177.643,85.821,63.940,17.575,394.456,49477.0,177643.0,85821.0,63940.0,17575.0,394456.0
Giá trị còn lại của TSCĐ,Giá trị còn lại của TSCĐ,Giá trị còn lại của TSCĐ,Giá trị còn lại của TSCĐ,Giá trị còn lại của TSCĐ,Giá trị còn lại của TSCĐ,Giá trị còn lại của TSCĐ,Giá trị còn lại của TSCĐ,Giá trị còn lại của TSCĐ,,,,,,
Tại ngày 1 tháng 1 năm 2014,Giá trị còn lại của TSCĐ > Tại ngày 1 tháng 1 năm 2014,Tại ngày 1 tháng 1 năm 2014,153.755,137.726,78.251,28.948,7.269,405.949,153755.0,137726.0,78251.0,28948.0,7269.0,405949.0
Tại ngày 31 tháng 12 năm 2014,Giá trị còn lại của TSCĐ > Tại ngày 31 tháng 12 năm 2014,Tại ngày 31 tháng 12 năm 2014,152.865,119.348,83.881,20.868,6.944,383.906,152865.0,119348.0,83881.0,20868.0,6944.0,383906.0
