row_label_raw,row_label_full,col_0,31/12/2015triệu VND,%,31/12/2014triệu VND,%_1,numeric__31/12/2015triệu VND,numeric__%,numeric__31/12/2014triệu VND,numeric__%_1
"Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản","Nông nghiệp, lâm nghiệp và thủy sản",26.984.705,"20,53",23.389.935,"22,47",26984705.0,20.53,23389935.0,22.47
Khai khoáng,Khai khoáng,Khai khoáng,6.534.738,"4,97",5.080.038,"4,88",6534738.0,4.97,5080038.0,4.88
"Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo","Công nghiệp chế biến, chế tạo",20.032.465,"15,24",14.600.473,"14,03",20032465.0,15.24,14600473.0,14.03
"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí","Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí","Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",6.233.780,"4,74",2.607.515,"2,50",6233780.0,4.74,2607515.0,2.5
"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải","Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải","Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",109.289,"0,08",27.609,"0,03",109289.0,0.08,27609.0,0.03
Xây dựng,Xây dựng,Xây dựng,19.309.760,"14,69",15.289.800,"14,69",19309760.0,14.69,15289800.0,14.69
"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác","Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác","Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",20.587.147,"15,66",16.212.350,"15,55",20587147.0,15.66,16212350.0,15.55
Vận tải kho bãi,Vận tải kho bãi,Vận tải kho bãi,3.406.075,"2,59",3.280.482,"3,15",3406075.0,2.59,3280482.0,3.15
Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,Dịch vụ lưu trú và ăn uống,931.310,"0,71",1.838.153,"1,77",931310.0,0.71,1838153.0,1.77
Thông tin và truyền thông,Thông tin và truyền thông,Thông tin và truyền thông,112.641,"0,09",93.836,"0,09",112641.0,0.09,93836.0,0.09
"Hoạt động tài chính, ngân hàng và bảo hiểm","Hoạt động tài chính, ngân hàng và bảo hiểm","Hoạt động tài chính, ngân hàng và bảo hiểm",641.715,"0,49",1.095.445,"1,05",641715.0,0.49,1095445.0,1.05
Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,Hoạt động kinh doanh bất động sản,9.315.326,"7,09",7.952.334,"7,64",9315326.0,7.09,7952334.0,7.64
"Hoạt động chuyên môn, khoa học và công nghệ","Hoạt động chuyên môn, khoa học và công nghệ","Hoạt động chuyên môn, khoa học và công nghệ",351.226,"0,27",40.624,"0,04",351226.0,0.27,40624.0,0.04
Hoạt động hành chính và dịch vụ hỗ trợ,Hoạt động hành chính và dịch vụ hỗ trợ,Hoạt động hành chính và dịch vụ hỗ trợ,1.473.191,"1,12",1.031.934,"0,99",1473191.0,1.12,1031934.0,0.99
"Hoạt động của Đăng Cộng sản, tổ chức chính trị - xã hội, quản lý nhà nước, an ninh quốc phòng; bảo đảm xã hội bất buộc","Hoạt động của Đăng Cộng sản, tổ chức chính trị - xã hội, quản lý nhà nước, an ninh quốc phòng; bảo đảm xã hội bất buộc","Hoạt động của Đăng Cộng sản, tổ chức chính trị - xã hội, quản lý nhà nước, an ninh quốc phòng; bảo đảm xã hội bất buộc",19.266,"0,01",3.980,"0,00",19266.0,0.01,3980.0,0.0
Giáo dục và đào tạo,Giáo dục và đào tạo,Giáo dục và đào tạo,44.792,"0,03",31.086,"0,03",44792.0,0.03,31086.0,0.03
Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,Y tế và hoạt động trợ giúp xã hội,82.149,"0,06",91.504,"0,09",82149.0,0.06,91504.0,0.09
"Nghệ thuật, vui chơi và giải trí","Nghệ thuật, vui chơi và giải trí","Nghệ thuật, vui chơi và giải trí",201.605,"0,15",45.372,"0,04",201605.0,0.15,45372.0,0.04
Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,Hoạt động dịch vụ khác,14.830.420,"11,28",11.218.922,"10,78",14830420.0,11.28,11218922.0,10.78
"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình","Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình","Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình",27.829,"0,02",20.062,"0,02",27829.0,0.02,20062.0,0.02
,,,131.229.429,"99,85",103.951.454,"99,85",131229429.0,99.85,103951454.0,99.85
Các khoản REPO với khách hàng của SHB AMC,Các khoản REPO với khách hàng của SHB AMC,Các khoản REPO với khách hàng của SHB AMC,-,-,1.700,"0,00",,,1700.0,0.0
Các khoản phải thu giao dịch chứng khoán của SHBS,Các khoản phải thu giao dịch chứng khoán của SHBS,Các khoản phải thu giao dịch chứng khoán của SHBS,197.764,"0,15",142.560,"0,15",197764.0,0.15,142560.0,0.15
,,,131.427.193,100,104.095.714,100,131427193.0,100.0,104095714.0,100.0
