row_label_raw,row_label_full,col_0,Thuyết minh,2015 triệu VND,2014 triệu VND,numeric__Thuyết minh,numeric__2015 triệu VND,numeric__2014 triệu VND
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,28,11.991.798,10.312.849,28.0,11991798.0,10312849.0
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,29,(8.295.644),(7.586.884),29.0,-8295644.0,-7586884.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,,3.696.154,2.725.965,,3696154.0,2725965.0
Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,Thu nhập từ hoạt động dịch vụ,,189.988,440.321,,189988.0,440321.0
Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,,(92.550),(86.722),,-92550.0,-86722.0
Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,Lãi thuần từ hoạt động dịch vụ,30,97.438,353.599,30.0,97438.0,353599.0
Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,Lãi thuần từ hoạt động kinh doanh ngoại hối,31,26.565,65.559,31.0,26565.0,65559.0
Lãi thuần từ mua bán chứng khoán kinh doanh,Lãi thuần từ mua bán chứng khoán kinh doanh,Lãi thuần từ mua bán chứng khoán kinh doanh,32,4.160,3.555,32.0,4160.0,3555.0
Lỗ thuần từ mua bán chứng khoán đầu tư,Lỗ thuần từ mua bán chứng khoán đầu tư,Lỗ thuần từ mua bán chứng khoán đầu tư,33,(69.645),(6.931),33.0,-69645.0,-6931.0
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,,304.992,296.940,,304992.0,296940.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,,(130.408),(189.174),,-130408.0,-189174.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,34,174.584,107.766,34.0,174584.0,107766.0
"Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần","Thu nhập từ góp vốn, mua cổ phần",35,8.564,7.820,35.0,8564.0,7820.0
TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,TỔNG THU NHẬP HOẠT ĐỘNG,,3.937.820,3.257.333,,3937820.0,3257333.0
TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,TỔNG CHI PHÍ HOẠT ĐỘNG,36,(2.078.640),(1.624.353),36.0,-2078640.0,-1624353.0
Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro,,1.859.180,1.632.980,,1859180.0,1632980.0
Chi phí dự phòng rủi ro cho trái phiếu VAMC,Chi phí dự phòng rủi ro cho trái phiếu VAMC,Chi phí dự phòng rủi ro cho trái phiếu VAMC,,(131.294),(333.039),,-131294.0,-333039.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,,(710.832),(287.593),,-710832.0,-287593.0
TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,TỔNG LỢI NHUẬN TRƯỚC THUẾ,,1.017.054,1.012.348,,1017054.0,1012348.0
Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,(221.437),(221.464),,-221437.0,-221464.0
Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hoãn lại,,(461),(137),,-461.0,-137.0
Chi phí thuế TNDN,Chi phí thuế TNDN,Chi phí thuế TNDN,24.1,(221.898),(221.601),241.0,-221898.0,-221601.0
LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,LỢI NHUẬN SAU THUẾ,,795.156,790.747,,795156.0,790747.0
Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,,(26),159,,-26.0,159.0
Lợi nhuận sau thuế của Ngân hàng,Lợi nhuận sau thuế của Ngân hàng,Lợi nhuận sau thuế của Ngân hàng,,795.130,790.611,,795130.0,790611.0
Lãi cơ bản trên cổ phiếu (VND),Lãi cơ bản trên cổ phiếu (VND),Lãi cơ bản trên cổ phiếu (VND),26,839,818,26.0,839.0,818.0
