row_label_raw,row_label_full,Các chỉ tiêu ngoài Bàng cân đối kế toán,31/12/2014triệu VND(trình bày lại) > Các chỉ tiêu ngoài Bàng cân đối kế toán,31/12/2014triệu VND(trình bày lại) > Các chỉ tiêu ngoài Bàng cân đối kế toán_1,Nguyên nhân > Các chỉ tiêu ngoài Bàng cân đối kế toán,numeric__31/12/2014triệu VND(trình bày lại) > Các chỉ tiêu ngoài Bàng cân đối kế toán,numeric__31/12/2014triệu VND(trình bày lại) > Các chỉ tiêu ngoài Bàng cân đối kế toán_1,numeric__Nguyên nhân > Các chỉ tiêu ngoài Bàng cân đối kế toán
Cam kết giao dịch hồi đoái,Cam kết giao dịch hồi đoái,Cam kết giao dịch hồi đoái,4.131.127,Không trình bày,,4131127.0,,
Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,Cam kết mua ngoại tệ,15.816,Không trình bày,Theo quy định tại Thông tư,15816.0,,
Cam kết bán ngoại tệ,Cam kết bán ngoại tệ,Cam kết bán ngoại tệ,164.527,Không trình bày,Theo quy định tại Thông tư,164527.0,,
Cam kết giao dịch hoán đổi,Cam kết giao dịch hoán đổi,Cam kết giao dịch hoán đổi,3.950.784,Không trình bày,49,3950784.0,,49.0
