row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Lợi ích cổ đông không kiểm soát,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Lợi ích cổ đông không kiểm soát,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,8.865.795,101.716,(5.260),13,517.699,216.751,2.908,783.350,10.482.972,8865795.0,101716.0,-5260.0,13.0,517699.0,216751.0,2908.0,783350.0,10482972.0
Thay đổi trong kỳ,Thay đổi trong kỳ,Thay đổi trong kỳ,Thay đổi trong kỳ,Thay đổi trong kỳ,Thay đổi trong kỳ,Thay đổi trong kỳ,Thay đổi trong kỳ,Thay đổi trong kỳ,Thay đổi trong kỳ,Thay đổi trong kỳ,Thay đổi trong kỳ,,,,,,,,,
Lợi nhuận thuần trong năm,Thay đổi trong kỳ > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,(26),795.182,795.156,,,,,,,-26.0,795182.0,795156.0
Thuế giữ lại của chi nhánh Campuchia,Thay đổi trong kỳ > Thuế giữ lại của chi nhánh Campuchia,Thuế giữ lại của chi nhánh Campuchia,-,-,-,-,-,-,-,(6.276),(6.276),,,,,,,,-6276.0,-6276.0
Trích quỹ đầu tư phát triển theo Nghị quyết năm 2014,Thay đổi trong kỳ > Trích quỹ đầu tư phát triển theo Nghị quyết năm 2014,Trích quỹ đầu tư phát triển theo Nghị quyết năm 2014,-,-,-,20.000,-,-,-,(20.000),-,,,,20000.0,,,,-20000.0,
Trích quỹ khen thưởng phúc lợi theo Nghị quyết năm 2014,Thay đổi trong kỳ > Trích quỹ khen thưởng phúc lợi theo Nghị quyết năm 2014,Trích quỹ khen thưởng phúc lợi theo Nghị quyết năm 2014,-,-,-,-,-,-,-,(15.426),(15.426),,,,,,,,-15426.0,-15426.0
Tăng vốn từ trả cổ tức bằng cổ phiếu,Thay đổi trong kỳ > Tăng vốn từ trả cổ tức bằng cổ phiếu,Tăng vốn từ trả cổ tức bằng cổ phiếu,620.150,-,-,-,-,-,-,(620.150),-,620150.0,,,,,,,-620150.0,
Chênh lệch tỷ giá,Thay đổi trong kỳ > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,-,-,-,-,-,1.497,1.497,,,,,,,,1497.0,1497.0
Tạm trích quỹ của Ngân hàng mẹ,Thay đổi trong kỳ > Tạm trích quỹ của Ngân hàng mẹ,Tạm trích quỹ của Ngân hàng mẹ,-,-,-,-,71.197,38.148,-,(109.345),-,,,,,71197.0,38148.0,,-109345.0,
Trả cổ tức cho SHBS năm 2014,Thay đổi trong kỳ > Trả cổ tức cho SHBS năm 2014,Trả cổ tức cho SHBS năm 2014,-,-,-,-,-,-,(161),-,(161),,,,,,,-161.0,,-161.0
Số dư cuối năm,Thay đổi trong kỳ > Số dư cuối năm,Số dư cuối năm,9.485.945,101.716,(5.260),20.013,588.896,254.899,2.721,808.832,11.257.762,9485945.0,101716.0,-5260.0,20013.0,588896.0,254899.0,2721.0,808832.0,11257762.0
