row_label_raw,row_label_full,col_0,Thuyết minh,31/12/2015 triệu VND,31/12/2014 triệu VND,numeric__Thuyết minh,numeric__31/12/2015 triệu VND,numeric__31/12/2014 triệu VND
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,
Các khoản nợ Chính phủ và NHNN,NỘ PHẢI TRẢ > Các khoản nợ Chính phủ và NHNN,Các khoản nợ Chính phủ và NHNN,18,4.224.915,761.158,18.0,4224915.0,761158.0
Tiền gửi và vay các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,19,28.145.783,28.142.891,19.0,28145783.0,28142891.0
Tiền gửi của các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi của các TCTD khác,Tiền gửi của các TCTD khác,,24.319.748,21.506.420,,24319748.0,21506420.0
Vay các TCTD khác,NỘ PHẢI TRẢ > Vay các TCTD khác,Vay các TCTD khác,,3.826.035,6.636.471,,3826035.0,6636471.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,20,148.828.876,123.227.619,20.0,148828876.0,123227619.0
Các công cụ TC phải sinh và các công nợ TC khác,NỘ PHẢI TRẢ > Các công cụ TC phải sinh và các công nợ TC khác,Các công cụ TC phải sinh và các công nợ TC khác,10,100.011,-,10.0,100011.0,
"Vốn tài trợ, ủy thác đầu tư, cho vay chịu rủi ro","NỘ PHẢI TRẢ > Vốn tài trợ, ủy thác đầu tư, cho vay chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay chịu rủi ro",21,414.632,214.487,21.0,414632.0,214487.0
Phát hành giấy tờ có giá,NỘ PHẢI TRẢ > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,22,8.259.448,3.911.000,22.0,8259448.0,3911000.0
Các khoản nợ khác,NỘ PHẢI TRẢ > Các khoản nợ khác,Các khoản nợ khác,,3.472.713,2.295.419,,3472713.0,2295419.0
"Các khoản lãi, phí phải trả","NỘ PHẢI TRẢ > Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",,3.053.554,1.730.158,,3053554.0,1730158.0
Thuế TNDN hoãn lại phải trả,NỘ PHẢI TRẢ > Thuế TNDN hoãn lại phải trả,Thuế TNDN hoãn lại phải trả,,-,461,,,461.0
Các khoản phải trả và công nợ khác,NỘ PHẢI TRẢ > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,23,419.159,564.800,23.0,419159.0,564800.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,,193.446.378,158.552.574,,193446378.0,158552574.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,,,
Vốn,VỐN CHỦ SỞ HỮU > Vốn,Vốn,,9.582.401,8.962.251,,9582401.0,8962251.0
Vốn điều lệ,VỐN CHỦ SỞ HỮU > Vốn điều lệ,Vốn điều lệ,,9.485.945,8.865.795,,9485945.0,8865795.0
Thặng dư vốn cổ phần,VỐN CHỦ SỞ HỮU > Thặng dư vốn cổ phần,Thặng dư vốn cổ phần,,101.716,101.716,,101716.0,101716.0
Cổ phiếu quỹ,VỐN CHỦ SỞ HỮU > Cổ phiếu quỹ,Cổ phiếu quỹ,,(5.260),(5.260),,-5260.0,-5260.0
Các quỹ dự trữ,VỐN CHỦ SỞ HỮU > Các quỹ dự trữ,Các quỹ dự trữ,,863.808,734.463,,863808.0,734463.0
Lợi nhuận chưa phân phối,VỐN CHỦ SỞ HỮU > Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,25,808.832,783.350,25.0,808832.0,783350.0
TỔNG VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG VỐN CHỦ SỞ HỮU,TỔNG VỐN CHỦ SỞ HỮU,25,11.255.041,10.480.064,25.0,11255041.0,10480064.0
LỢI ÍCH CỦA CỔ ĐÔNG KHÔNG KIỂM SOÁT,VỐN CHỦ SỞ HỮU > LỢI ÍCH CỦA CỔ ĐÔNG KHÔNG KIỂM SOÁT,LỢI ÍCH CỦA CỔ ĐÔNG KHÔNG KIỂM SOÁT,,2.721,2.908,,2721.0,2908.0
"TỔNG NỘ PHẢI TRẢ, VỐN CHỦ SỞ HỮU VÀ LỢI ÍCH CỔ ĐÔNG KHÔNG KIỂM SOÁT","VỐN CHỦ SỞ HỮU > TỔNG NỘ PHẢI TRẢ, VỐN CHỦ SỞ HỮU VÀ LỢI ÍCH CỔ ĐÔNG KHÔNG KIỂM SOÁT","TỔNG NỘ PHẢI TRẢ, VỐN CHỦ SỞ HỮU VÀ LỢI ÍCH CỔ ĐÔNG KHÔNG KIỂM SOÁT",,204.704.140,169.035.546,,204704140.0,169035546.0
