row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
1.,1.,1.,Bảo lãnh vay vốn,40,7.110.244,8.458.181,,40.0,7110244.0,8458181.0
2.,2.,2.,Cam kết giao dịch hối đoái,40,1.362.521,3.972.645,,40.0,1362521.0,3972645.0
a.,a.,a.,Cam kết mua ngoại tệ,,769.295,2.816.946,,,769295.0,2816946.0
b.,b.,b.,Cam kết bán ngoại tệ,,593.226,1.155.699,,,593226.0,1155699.0
3.,3.,3.,Cam kết trong nghiệp vụ L/C,40,110.060.722,121.248.044,,40.0,110060722.0,121248044.0
4.,4.,4.,Bảo lãnh khác,40,181.453.905,167.338.469,,40.0,181453905.0,167338469.0
5.,5.,5.,Cam kết khác,40,10.319.504,8.355.060,,40.0,10319504.0,8355060.0
6.,6.,6.,Lãi cho vay và phí phải thu chưa thu được,41,13.490.033,14.505.648,,41.0,13490033.0,14505648.0
7.,7.,7.,Nợ khó đòi đã xử lý,42,194.266.771,171.287.820,,42.0,194266771.0,171287820.0
a.,a.,a.,Nợ gốc của các khoản nợ khó đòi đã xử lý,,99.410.360,89.383.390,,,99410360.0,89383390.0
b.,b.,b.,Nợ lãi của các khoản nợ khó đòi đã xử lý,,94.856.411,81.904.430,,,94856411.0,81904430.0
8.,8.,8.,Tài sản và chứng từ khác,43,70.592.386,71.934.251,,43.0,70592386.0,71934251.0
