row_label_raw,row_label_full,col_0,Số dư đầu năm,Phát sinh trong năm > Số phải nộp,Phát sinh trong năm > Số đã nộp,Số dư cuối năm,numeric__Số dư đầu năm,numeric__Phát sinh trong năm > Số phải nộp,numeric__Phát sinh trong năm > Số đã nộp,numeric__Số dư cuối năm
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Thuế GTGT,Thuế GTGT,Thuế GTGT,(7.734),550.178,(612.835),(70.391),-7734.0,550178.0,-612835.0,-70391.0
Thuế TNDN,Thuế TNDN,Thuế TNDN,554.614,4.604.498,(2.756.764),2.402.348,554614.0,4604498.0,-2756764.0,2402348.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,151.673,1.358.687,(1.332.294),178.066,151673.0,1358687.0,-1332294.0,178066.0
"Các khoản phải nộp khác và các khoản phí, lệ phí","Các khoản phải nộp khác và các khoản phí, lệ phí","Các khoản phải nộp khác và các khoản phí, lệ phí",175.252,189.427,(189.462),175.217,175252.0,189427.0,-189462.0,175217.0
,,,873.805,6.702.790,(4.891.355),2.685.240,873805.0,6702790.0,-4891355.0,2685240.0
