row_label_raw,row_label_full,col_0,Ngân hàng,Cho thuê tài chính,Bảo hiểm,Chứng khoán,Khác,Điều chính hợp nhất,Tổng cộng,numeric__Ngân hàng,numeric__Cho thuê tài chính,numeric__Bảo hiểm,numeric__Chứng khoán,numeric__Khác,numeric__Điều chính hợp nhất,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,55.404.303,155.609,264.927,211.871,5.647,27.327,56.069.684,55404303.0,155609.0,264927.0,211871.0,5647.0,27327.0,56069684.0
- Từ các giao dịch với khách hàng bên ngoài,- Từ các giao dịch với khách hàng bên ngoài,- Từ các giao dịch với khách hàng bên ngoài,55.431.952,155.287,264.927,211.871,5.647,-,56.069.684,55431952.0,155287.0,264927.0,211871.0,5647.0,,56069684.0
- Từ các giao dịch với các bộ phận khác,- Từ các giao dịch với các bộ phận khác,- Từ các giao dịch với các bộ phận khác,(27.649),322,-,-,-,27.327,-,-27649.0,322.0,,,,27327.0,
Lãi/(lỗ) thuần từ hoạt động dịch vụ,Lãi/(lỗ) thuần từ hoạt động dịch vụ,Lãi/(lỗ) thuần từ hoạt động dịch vụ,4.927.342,(135),605.089,210.190,15.426,(109.847),5.648.065,4927342.0,-135.0,605089.0,210190.0,15426.0,-109847.0,5648065.0
- Từ các giao dịch với khách hàng bên ngoài,- Từ các giao dịch với khách hàng bên ngoài,- Từ các giao dịch với khách hàng bên ngoài,4.813.383,(135),609.201,210.190,15.426,-,5.648.065,4813383.0,-135.0,609201.0,210190.0,15426.0,,5648065.0
- Từ các giao dịch với các bộ phận khác,- Từ các giao dịch với các bộ phận khác,- Từ các giao dịch với các bộ phận khác,113.959,-,(4.112),-,-,(109.847),-,113959.0,,-4112.0,,,-109847.0,
Lãi thuần từ hoạt động kinh doanh vàng và ngoại hối,Lãi thuần từ hoạt động kinh doanh vàng và ngoại hối,Lãi thuần từ hoạt động kinh doanh vàng và ngoại hối,3.120.095,(1.860),23.712,(1.528),-,(3.806),3.136.613,3120095.0,-1860.0,23712.0,-1528.0,,-3806.0,3136613.0
Lãi thuần từ mua bán chứng khoán,Lãi thuần từ mua bán chứng khoán,Lãi thuần từ mua bán chứng khoán,183.340,-,67.142,(37.187),-,13.508,226.803,183340.0,,67142.0,-37187.0,,13508.0,226803.0
Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,Lãi thuần từ hoạt động khác,4.273.034,5.220,(2),15.704,120,(83.749),4.210.327,4273034.0,5220.0,-2.0,15704.0,120.0,-83749.0,4210327.0
