row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước
1.,1.,1.,Thu nhập lãi và các khoản thu nhập tương tự,26,121.110.719,101.007.908,,26.0,121110719.0,101007908.0
2.,2.,2.,Chi phí lãi và các chi phí tương tự,27,(65.041.035),(54.184.600),,27.0,-65041035.0,-54184600.0
I.,I.,I.,Thu nhập lãi thuần,,56.069.684,46.823.308,,,56069684.0,46823308.0
3.,3.,3.,Thu nhập từ hoạt động dịch vụ,,10.344.181,10.370.092,,,10344181.0,10370092.0
4.,4.,4.,Chi phí hoạt động dịch vụ,,(4.696.116),(3.755.811),,,-4696116.0,-3755811.0
II.,II.,II.,Lãi thuần từ hoạt động dịch vụ,28,5.648.065,6.614.281,,28.0,5648065.0,6614281.0
III.,III.,III.,Lãi thuần từ hoạt động kinh doanh ngoại hối,29,3.136.613,1.896.154,,29.0,3136613.0,1896154.0
IV.,IV.,IV.,Lãi thuần từ mua bán chứng khoán kinh doanh,30.1,(31.664),586.241,,301.0,-31664.0,586241.0
V.,V.,V.,Lãi thuần từ mua bán chứng khoán đầu tư,30.2,258.467,207.431,,302.0,258467.0,207431.0
V.,V.,V.,Lãi thuần từ mua bán chứng khoán,,226.803,793.672,,,226803.0,793672.0
5.,5.,5.,Thu nhập từ hoạt động khác,,6.526.421,8.957.444,,,6526421.0,8957444.0
6.,6.,6.,Chi phí từ hoạt động khác,,(2.316.094),(2.778.592),,,-2316094.0,-2778592.0
VI.,VI.,VI.,Lãi thuần từ hoạt động khác,31,4.210.327,6.178.852,,31.0,4210327.0,6178852.0
VII.,VII.,VII.,"Thu nhập từ góp vốn, mua cổ phần",32,290.952,187.622,,32.0,290952.0,187622.0
VII.,VII.,VII.,Tổng thu nhập hoạt động,,69.582.444,62.493.889,,,69582444.0,62493889.0
7.,7.,7.,Chi phí nhân viên,,(12.837.265),(11.428.468),,,-12837265.0,-11428468.0
8.,8.,8.,Chi phí khấu hao và khấu trừ,,(1.057.770),(1.222.703),,,-1057770.0,-1222703.0
9.,9.,9.,Chi phí hoạt động khác,,(8.662.439),(6.814.150),,,-8662439.0,-6814150.0
VIII.,VIII.,VIII.,Tổng chi phí hoạt động,33,(22.557.474),(19.465.321),,33.0,-22557474.0,-19465321.0
IX.,IX.,IX.,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,47.024.970,43.028.568,,,47024970.0,43028568.0
X.,X.,X.,Chi phí dự phòng rủi ro tín dụng,"9, 13",(24.015.485),(29.480.917),,,-24015485.0,-29480917.0
XI.,XI.,XI.,Tổng lợi nhuận trước thuế,,23.009.485,13.547.651,,,23009485.0,13547651.0
10.,10.,10.,Chi phí thuế TNDN hiện hành,,(4.604.520),(2.707.403),,,-4604520.0,-2707403.0
11.,11.,11.,Thu nhập thuế TNDN hoãn lại,,15.049,1.023,,,15049.0,1023.0
XII.,XII.,XII.,Chi phí thuế TNDN,34,(4.589.471),(2.706.380),,34.0,-4589471.0,-2706380.0
XIII.,XIII.,XIII.,Lợi nhuận sau thuế,,18.420.014,10.841.271,,,18420014.0,10841271.0
XIII.,XIII.,XIII.,Phân bố (lãi) cho cổ đông không kiểm soát,,(261.512),(301.133),,,-261512.0,-301133.0
XIII.,XIII.,XIII.,Lợi nhuận thuần của Ngân hàng mẹ,,18.158.502,10.540.138,,,18158502.0,10540138.0
XIII.,XIII.,XIII.,Lãi cơ bản trên mỗi cổ phiếu (VND/cổ phiếu),35,3.125,1.726,,35.0,3125.0,1726.0
