row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,"Thiết bị,dụng cụ quản lý",TSCĐ hữu hìnhkhác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,"numeric__Thiết bị,dụng cụ quản lý",numeric__TSCĐ hữu hìnhkhác,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,
Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,Nguyên giá TSCĐ hữu hình,,,,,,
Số dư đầu năm,Nguyên giá TSCĐ hữu hình > Số dư đầu năm,Số dư đầu năm,7.167.910,5.235.472,1.523.278,201.661,135.987,14.264.308,7167910.0,5235472.0,1523278.0,201661.0,135987.0,14264308.0
Mua trong năm,Nguyên giá TSCĐ hữu hình > Mua trong năm,Mua trong năm,258.355,244.262,62.024,8.248,14.404,587.293,258355.0,244262.0,62024.0,8248.0,14404.0,587293.0
Đầu tư XDCB hoàn thành,Nguyên giá TSCĐ hữu hình > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,77.628,60.681,12.393,9.747,2.686,163.135,77628.0,60681.0,12393.0,9747.0,2686.0,163135.0
"Thanh lý, nhượng bán(Giảm) khác","Thanh lý, nhượng bán(Giảm) khác","Thanh lý, nhượng bán(Giảm) khác",(22.674)(216.330),(75.558)(34.456),(36.947)(14.068),(4.451)(11.976),(3.730)(312),(143.360)(277.142),,,,,,
Số dư cuối năm,"Thanh lý, nhượng bán(Giảm) khác > Số dư cuối năm",Số dư cuối năm,7.264.889,5.430.401,1.546.680,203.229,149.035,14.594.234,7264889.0,5430401.0,1546680.0,203229.0,149035.0,14594234.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,2.516.538,4.010.867,1.115.611,171.411,111.831,7.926.258,2516538.0,4010867.0,1115611.0,171411.0,111831.0,7926258.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,300.510,385.789,113.996,18.483,13.439,832.217,300510.0,385789.0,113996.0,18483.0,13439.0,832217.0
"Thanh lý, nhượng bán(Giảm) khác","Thanh lý, nhượng bán(Giảm) khác","Thanh lý, nhượng bán(Giảm) khác",(17.247)(67.756),(75.414)(36.841),(36.088)(12.106),(4.450)(5.341),(3.730)(3.224),(136.929)(125.268),,,,,,
Số dư cuối năm,"Thanh lý, nhượng bán(Giảm) khác > Số dư cuối năm",Số dư cuối năm,2.732.045,4.284.401,1.181.413,180.103,118.316,8.496.278,2732045.0,4284401.0,1181413.0,180103.0,118316.0,8496278.0
Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,Giá trị còn lại của TSCĐ hữu hình,,,,,,
Số dư đầu năm,Giá trị còn lại của TSCĐ hữu hình > Số dư đầu năm,Số dư đầu năm,4.651.372,1.224.605,407.667,30.250,24.156,6.338.050,4651372.0,1224605.0,407667.0,30250.0,24156.0,6338050.0
Số dư cuối năm,Giá trị còn lại của TSCĐ hữu hình > Số dư cuối năm,Số dư cuối năm,4.532.844,1.146.000,365.267,23.126,30.719,6.097.956,4532844.0,1146000.0,365267.0,23126.0,30719.0,6097956.0
