row_label_raw,row_label_full,col_0,Năm 2022,Năm 2022_1,Năm 2022_2,Năm 2022_3,numeric__Năm 2022,numeric__Năm 2022_1,numeric__Năm 2022_2,numeric__Năm 2022_3
,,,Trong nước,Nước ngoài,Điều chỉnh hợp nhất,Tổng cộng,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,18.621.121,(74.448),(126.659),18.420.014,18621121.0,-74448.0,-126659.0,18420014.0
Tổng tài sản tại ngày cuối năm,Tổng tài sản tại ngày cuối năm,Tổng tài sản tại ngày cuối năm,2.105.032.705,36.718.125,(21.141.446),2.120.609.384,2105032705.0,36718125.0,-21141446.0,2120609384.0
Tổng nợ phải trả tại ngày cuối năm,Tổng nợ phải trả tại ngày cuối năm,Tổng nợ phải trả tại ngày cuối năm,1.999.392.347,32.993.040,(15.965.998),2.016.419.389,1999392347.0,32993040.0,-15965998.0,2016419389.0
,,,Năm 2021,Năm 2021,Năm 2021,Năm 2021,,,,
,,,Trong nước,Nước ngoài,Điều chỉnh hợp nhất,Tổng cộng,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,10.921.601,40.579,(120.909),10.841.271,10921601.0,40579.0,-120909.0,10841271.0
Tổng tài sản tại ngày cuối năm,Tổng tài sản tại ngày cuối năm,Tổng tài sản tại ngày cuối năm,1.744.943.200,41.383.211,(24.630.619),1.761.695.792,1744943200.0,41383211.0,-24630619.0,1761695792.0
Tổng nợ phải trả tại ngày cuối năm,Tổng nợ phải trả tại ngày cuối năm,Tổng nợ phải trả tại ngày cuối năm,1.657.873.507,34.626.312,(17.133.053),1.675.366.766,1657873507.0,34626312.0,-17133053.0,1675366766.0
