row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Quỹ dự phòng tài chính,Quỹ dự trữ bổ sung vốn điều lệ,Quỹ đầu tư phát triển,Quỹ khác thuộc Vốn chủ sở hữu,Vốn khác,Chênh lệch tỷ giá hối đoái,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Quỹ dự phòng tài chính,numeric__Quỹ dự trữ bổ sung vốn điều lệ,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc Vốn chủ sở hữu,numeric__Vốn khác,numeric__Chênh lệch tỷ giá hối đoái,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Tổng cộng
,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,50.585.239,14.292.382,6.217.587,3.251.948,172.455,42.961,267.851,(367.882),8.672.557,3.193.928,86.329.026,50585239.0,14292382.0,6217587.0,3251948.0,172455.0,42961.0,267851.0,-367882.0,8672557.0,3193928.0,86329026.0
- Lợi nhuận trong năm,- Lợi nhuận trong năm,- Lợi nhuận trong năm,-,-,-,-,-,-,-,-,18.158.502,261.512,18.420.014,,,,,,,,,18158502.0,261512.0,18420014.0
- Điều chỉnh trích lập quỹ của các năm tài chính trước,- Điều chỉnh trích lập quỹ của các năm tài chính trước,- Điều chỉnh trích lập quỹ của các năm tài chính trước,-,-,1.550,12.046,49.252,-,-,-,(62.848),-,-,,,1550.0,12046.0,49252.0,,,,-62848.0,,
- Trích quỹ trong năm,- Trích quỹ trong năm,- Trích quỹ trong năm,-,-,1.813.401,909.641,-,7.631,-,-,(2.734.488),3.815,-,,,1813401.0,909641.0,,7631.0,,,-2734488.0,3815.0,
- Sử dụng quỹ trong năm,- Sử dụng quỹ trong năm,- Sử dụng quỹ trong năm,-,-,(981),-,-,-,-,-,-,-,(981),,,-981.0,,,,,,,,-981.0
- Tạm trích Quỹ khen thưởng phúc lợi 2022,- Tạm trích Quỹ khen thưởng phúc lợi 2022,- Tạm trích Quỹ khen thưởng phúc lợi 2022,-,-,-,-,-,-,-,-,(2.351.056),(48.381),(2.399.437),,,,,,,,,-2351056.0,-48381.0,-2399437.0
- Trích bổ sung quỹ khen thưởng phúc lợi các năm trước,- Trích bổ sung quỹ khen thưởng phúc lợi các năm trước,- Trích bổ sung quỹ khen thưởng phúc lợi các năm trước,-,-,-,-,-,-,-,-,(14.111),(12.677),(26.788),,,,,,,,,-14111.0,-12677.0,-26788.0
- Quyết định trả cổ tức trong năm (xem Thuyết minh số 25.4),- Quyết định trả cổ tức trong năm (xem Thuyết minh số 25.4),- Quyết định trả cổ tức trong năm (xem Thuyết minh số 25.4),-,-,-,-,-,-,-,-,-,(148.992),(148.992),,,,,,,,,,-148992.0,-148992.0
- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,- Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,-,-,-,657,-,205,-,(407.112),(2.254),(262.620),(671.124),,,,657.0,,205.0,,-407112.0,-2254.0,-262620.0,-671124.0
- Tăng giảm do biến động tỷ lệ sở hữu của BSC,- Tăng giảm do biến động tỷ lệ sở hữu của BSC,- Tăng giảm do biến động tỷ lệ sở hữu của BSC,-,1.059.025,(15.185),(15.185),-,-,-,-,(77.984),1.743.045,2.693.716,,1059025.0,-15185.0,-15185.0,,,,,-77984.0,1743045.0,2693716.0
- Tăng/(giảm) khác,- Tăng/(giảm) khác,- Tăng/(giảm) khác,-,-,(194),(105),(21),-,-,14.590,(12.218),(7.491),(5.439),,,-194.0,-105.0,-21.0,,,14590.0,-12218.0,-7491.0,-5439.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,50.585.239,15.351.407,8.016.178,4.159.002,221.686,50.797,267.851,(760.404),21.576.100,4.722.139,104.189.995,50585239.0,15351407.0,8016178.0,4159002.0,221686.0,50797.0,267851.0,-760404.0,21576100.0,4722139.0,104189995.0
