row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
A,A,A,TÀI SẢN,,,,,,,
I.,A > I.,I.,"Tiền mặt, vàng bạc, đá quý",6,13.745.228,12.660.583,,6.0,13745228.0,12660583.0
II.,A > II.,II.,Tiền gửi tại Ngân hàng Trung ương,7,111.418.448,68.851.444,,7.0,111418448.0,68851444.0
III.,A > III.,III.,Tiền gửi tại và cho vay các TCTD khác,8,221.177.798,135.940.229,,8.0,221177798.0,135940229.0
1.,A > 1.,1.,Tiền gửi tại TCTD khác,,203.466.918,112.042.988,,,203466918.0,112042988.0
2.,A > 2.,2.,Cho vay các TCTD khác,,17.795.874,24.026.575,,,17795874.0,24026575.0
3.,A > 3.,3.,Dự phòng rủi ro tiền gửi tại và cho vay các TCTD khác,9,(84.994),(129.334),,9.0,-84994.0,-129334.0
IV.,A > IV.,IV.,Chứng khoán kinh doanh,10,1.701.464,6.068.913,,10.0,1701464.0,6068913.0
1.,A > 1.,1.,Chứng khoán kinh doanh,,1.748.521,6.083.165,,,1748521.0,6083165.0
2.,A > 2.,2.,Dự phòng rủi ro chứng khoán kinh doanh,,(47.057),(14.252),,,-47057.0,-14252.0
V.,A > V.,V.,Các công cụ tài chính phải sinh và các tài sản tài chính khác,11,1.038.214,192.282,,11.0,1038214.0,192282.0
VI.,A > VI.,VI.,Cho vay khách hàng,,1.483.995.823,1.325.528.925,,,1483995823.0,1325528925.0
1.,A > 1.,1.,Cho vay khách hàng,12,1.522.221.714,1.354.632.643,,12.0,1522221714.0,1354632643.0
2.,A > 2.,2.,Dự phòng rủi ro cho vay khách hàng,13,(38.225.891),(29.103.718),,13.0,-38225891.0,-29103718.0
VII.,A > VII.,VII.,Chứng khoán đầu tư,14,235.636.449,177.088.795,,14.0,235636449.0,177088795.0
1.,A > 1.,1.,Chứng khoán đầu tư sẵn sàng để bán,,162.283.083,111.675.314,,,162283083.0,111675314.0
2.,A > 2.,2.,Chứng khoán đầu tư giữ đến ngày đáo hạn,,73.734.542,65.711.393,,,73734542.0,65711393.0
3.,A > 3.,3.,Dự phòng rủi ro chứng khoán đầu tư,,(381.176),(297.912),,,-381176.0,-297912.0
VIII.,A > VIII.,VIII.,"Gớp vốn, đầu tư dài hạn",15,2.978.193,2.847.647,,15.0,2978193.0,2847647.0
1.,A > 1.,1.,Vốn góp liên doanh,15.1,2.243.217,2.134.086,,151.0,2243217.0,2134086.0
2.,A > 2.,2.,Đầu tư vào công ty liên kết,15.2,628.324,595.596,,152.0,628324.0,595596.0
3.,A > 3.,3.,"Gớp vốn, đầu tư dài hạn khác",,215.076,215.617,,,215076.0,215617.0
4.,A > 4.,4.,Dự phòng giảm giá đầu tư dài hạn,15.3,(108.424),(97.652),,153.0,-108424.0,-97652.0
IX.,A > IX.,IX.,Tài sản cố định,16,10.534.119,10.741.232,,16.0,10534119.0,10741232.0
1.,A > 1.,1.,Tài sản cố định hữu hình,16.1,6.097.956,6.338.050,,161.0,6097956.0,6338050.0
a.,A > a.,a.,Nguyên giá tài sản cố định,,14.594.234,14.264.308,,,14594234.0,14264308.0
b.,A > b.,b.,Hao mòn tài sản cố định,,(8.496.278),(7.926.258),,,-8496278.0,-7926258.0
2.,A > 2.,2.,Tài sản cố định vô hình,16.2,4.436.163,4.403.182,,162.0,4436163.0,4403182.0
a.,A > a.,a.,Nguyên giá tài sản cố định,,6.639.598,6.407.788,,,6639598.0,6407788.0
b.,A > b.,b.,Hao mòn tài sản cố định,,(2.203.435),(2.004.606),,,-2203435.0,-2004606.0
X.,A > X.,X.,Tài sản Có khác,17,38.383.648,21.775.742,,17.0,38383648.0,21775742.0
1.,A > 1.,1.,Các khoản phải thu,,22.728.033,7.838.680,,,22728033.0,7838680.0
2.,A > 2.,2.,"Các khoản lãi, phí phải thu",,13.016.124,10.901.959,,,13016124.0,10901959.0
3.,A > 3.,3.,Tài sản thuế thu nhập doanh nghiệp hoãn lại,,35.542,36.588,,,35542.0,36588.0
4.,A > 4.,4.,Tài sản Có khác,,3.212.892,3.567.089,,,3212892.0,3567089.0
5.,A > 5.,5.,Dự phòng rủi ro cho các tài sản Có nội bằng khác,,(608.943),(568.574),,,-608943.0,-568574.0
,,,TỔNG TÀI SẢN,,2.120.609.384,1.761.695.792,,,2120609384.0,1761695792.0
