row_label_raw,row_label_full,STT,CHỈ TIÊU,Thuyết minh,Số cuối năm,Số đầu năm,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
B.,B.,B.,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I.,B. > I.,I.,Các khoản nợ Chính phủ và Ngân hàng Trung ương,18,152.752.718,25.340.018,,18.0,152752718.0,25340018.0
II.,B. > II.,II.,Tiền gửi và vay các TCTD khác,19,177.221.298,98.007.392,,19.0,177221298.0,98007392.0
1.,B. > 1.,1.,Tiền gửi của các TCTD khác,,137.045.455,58.953.639,,,137045455.0,58953639.0
2.,B. > 2.,2.,Vay các TCTD khác,,40.175.843,39.053.753,,,40175843.0,39053753.0
III.,B. > III.,III.,Tiền gửi của khách hàng,20,1.473.598.150,1.380.397.799,,20.0,1473598150.0,1380397799.0
IV.,B. > IV.,IV.,"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",21,13.237.626,14.349.996,,21.0,13237626.0,14349996.0
V.,B. > V.,V.,Phát hành giấy tờ có giá,22,157.051.601,123.681.757,,22.0,157051601.0,123681757.0
VI.,B. > VI.,VI.,Các khoản nợ khác,23,42.557.996,33.589.804,,23.0,42557996.0,33589804.0
1.,B. > 1.,1.,"Các khoản lãi, phí phải trả",,26.051.633,21.527.269,,,26051633.0,21527269.0
2.,B. > 2.,2.,Thuế TNDN hoãn lại phải trả,,97.371,114.444,,,97371.0,114444.0
3.,B. > 3.,3.,Các khoản phải trả và công nợ khác,,16.408.992,11.948.091,,,16408992.0,11948091.0
,,,TỔNG NỘ PHẢI TRẢ,,2.016.419.389,1.675.366.766,,,2016419389.0,1675366766.0
VII.,B. > VII.,VII.,Vốn và các quỹ,25,,,,25.0,,
1.,B. > 1.,1.,Vốn của Ngân hàng,,66.204.497,65.145.472,,,66204497.0,65145472.0
a.,B. > a.,a.,Vốn điều lệ,,50.585.239,50.585.239,,,50585239.0,50585239.0
b.,B. > b.,b.,Thống dư vốn cổ phần,,15.351.407,14.292.382,,,15351407.0,14292382.0
c.,B. > c.,c.,Vốn khác,,267.851,267.851,,,267851.0,267851.0
2.,B. > 2.,2.,Quỹ của Ngân hàng,,12.447.663,9.684.951,,,12447663.0,9684951.0
3.,B. > 3.,3.,Chênh lệch tỷ giá hối đoái,,(760.404),(367.882),,,-760404.0,-367882.0
4.,B. > 4.,4.,Lợi nhuận chưa phân phối,,21.576.100,8.672.557,,,21576100.0,8672557.0
5.,B. > 5.,5.,Lợi ích cổ đông không kiểm soát,,4.722.139,3.193.928,,,4722139.0,3193928.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,104.189.995,86.329.026,,,104189995.0,86329026.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,2.120.609.384,1.761.695.792,,,2120609384.0,1761695792.0
