row_label_raw,row_label_full,Loại tài sản,Thời gian hữu dụng ước tính(số năm),numeric__Thời gian hữu dụng ước tính(số năm)
"Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc",07 - 50,
"Máy móc, thiết bị","Máy móc, thiết bị","Máy móc, thiết bị",05 - 12,
Phương tiện vận tải,Phương tiện vận tải,Phương tiện vận tải,06 - 15,
"Thiết bị, dụng cụ quản lý","Phương tiện vận tải > Thiết bị, dụng cụ quản lý","Thiết bị, dụng cụ quản lý",05,5.0
Tài sản cố định hữu hình khác,Phương tiện vận tải > Tài sản cố định hữu hình khác,Tài sản cố định hữu hình khác,04,4.0
Phần mềm máy tính,Phần mềm máy tính,Phần mềm máy tính,03 - 08,
Tài sản cố định vô hình khác,Tài sản cố định vô hình khác,Tài sản cố định vô hình khác,02 - 20,
