row_label_raw,row_label_full,Ông Phan Đức Tú,Chủ tịch,numeric__Chủ tịch
Bà Phan Thị Chinh,Bà Phan Thị Chinh,Bà Phan Thị Chinh,Ủy viên,
Ông Ngô Văn Dũng,Ông Ngô Văn Dũng,Ông Ngô Văn Dũng,Ủy viên,
Ông Yoo Je Bong,Ông Yoo Je Bong,Ông Yoo Je Bong,Ủy viên,
Ông Phạm Quang Tùng,Ông Phạm Quang Tùng,Ông Phạm Quang Tùng,Ủy viên,
Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Bà Nguyễn Thị Thu Hương,Ủy viên (nghĩ hưu theo chế độ từ ngày 01 tháng 11 năm 2022),
Ông Trần Xuân Hoàng,Ông Trần Xuân Hoàng,Ông Trần Xuân Hoàng,Ủy viên,
Ông Lê Kim Hòa,Ông Lê Kim Hòa,Ông Lê Kim Hòa,Ủy viên,
Ông Nguyễn Văn Thạnh,Ông Nguyễn Văn Thạnh,Ông Nguyễn Văn Thạnh,Ủy viên độc lập (bố nhiệm ngày 29 tháng 4 năm 2022),
Ông Nguyễn Quang Huy,Ông Nguyễn Quang Huy,Ông Nguyễn Quang Huy,Ủy viên độc lập (miễn nhiệm từ ngày 29 tháng 4 năm 2022),
Ông Lê Ngọc Lâm,Ông Lê Ngọc Lâm,Ông Lê Ngọc Lâm,Ủy viên,
