row_label_raw,row_label_full,Các chỉ tiêu ngoài báo cáo tình hình tài chính hợp nhất,Số đã báo cáo trên báo cáo tài chính hợp nhất cho nằm tài chính kết thúc ngày 31/12/2021 > Triệu VND,Trình bày bổ sung theo Thông tư 27 > Triệu VND,Số báo cáo trên báo cáo tài chính hợp nhất cho nằm tài chính kết thúc ngày 31/12/2022 > Triệu VND,numeric__Số đã báo cáo trên báo cáo tài chính hợp nhất cho nằm tài chính kết thúc ngày 31/12/2021 > Triệu VND,numeric__Trình bày bổ sung theo Thông tư 27 > Triệu VND,numeric__Số báo cáo trên báo cáo tài chính hợp nhất cho nằm tài chính kết thúc ngày 31/12/2022 > Triệu VND
Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,Không trình bày,14.505.648,13.490.033,,14505648.0,13490033.0
Lãi cho vay chưa thu được,Lãi cho vay chưa thu được,Lãi cho vay chưa thu được,Không trình bày,11.759.774,10.177.701,,11759774.0,10177701.0
Lãi chứng khoán chưa thu được,Lãi chứng khoán chưa thu được,Lãi chứng khoán chưa thu được,Không trình bày,2.626.596,3.120.154,,2626596.0,3120154.0
Phí phải thu chưa thu được,Phí phải thu chưa thu được,Phí phải thu chưa thu được,Không trình bày,119.278,192.178,,119278.0,192178.0
Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,Không trình bày,171.287.820,194.266.771,,171287820.0,194266771.0
Nợ gốc của khoản nợ đã xử lý rủi ro đang trong thời gian theo dõi,Nợ gốc của khoản nợ đã xử lý rủi ro đang trong thời gian theo dõi,Nợ gốc của khoản nợ đã xử lý rủi ro đang trong thời gian theo dõi,Không trình bày,89.380.370,99.407.327,,89380370.0,99407327.0
Nợ lãi của khoản nợ đã xử lý rủi ro đang trong thời gian theo dõi,Nợ lãi của khoản nợ đã xử lý rủi ro đang trong thời gian theo dõi,Nợ lãi của khoản nợ đã xử lý rủi ro đang trong thời gian theo dõi,Không trình bày,81.904.430,94.856.411,,81904430.0,94856411.0
Các khoản nợ khác đã xử lý,Các khoản nợ khác đã xử lý,Các khoản nợ khác đã xử lý,Không trình bày,3.020,3.033,,3020.0,3033.0
Tài sản và chứng từ khác,Tài sản và chứng từ khác,Tài sản và chứng từ khác,Không trình bày,71.934.251,70.592.386,,71934251.0,70592386.0
"Kim loại quý, đá quý giữ hộ","Kim loại quý, đá quý giữ hộ","Kim loại quý, đá quý giữ hộ",Không trình bày,18.477,14.297,,18477.0,14297.0
Tài sản khác giữ hộ,Tài sản khác giữ hộ,Tài sản khác giữ hộ,Không trình bày,11.616.536,6.487.822,,11616536.0,6487822.0
Tài sản thuê ngoài,Tài sản thuê ngoài,Tài sản thuê ngoài,Không trình bày,9.493.503,10.125.683,,9493503.0,10125683.0
Tài sản bảo đảm nhận thay thế cho việc thực hiện nghĩa vụ của bên bảo đảm chờ xử lý,Tài sản bảo đảm nhận thay thế cho việc thực hiện nghĩa vụ của bên bảo đảm chờ xử lý,Tài sản bảo đảm nhận thay thế cho việc thực hiện nghĩa vụ của bên bảo đảm chờ xử lý,Không trình bày,3.071.804,3.034.401,,3071804.0,3034401.0
Các chứng từ có giá trị khác đang bảo quản,Các chứng từ có giá trị khác đang bảo quản,Các chứng từ có giá trị khác đang bảo quản,Không trình bày,47.733.931,50.930.183,,47733931.0,50930183.0
