row_label_raw,row_label_full,Số đầu năm,Năm nay > 2.365.638.497.961,Đơn vị tính: VND > Năm trước(Trình bày lại) > 952.574.832.301,numeric__Năm nay > 2.365.638.497.961,numeric__Đơn vị tính: VND > Năm trước(Trình bày lại) > 952.574.832.301
Lợi nhuận thuộc về cổ đông không kiểm soát,Lợi nhuận thuộc về cổ đông không kiểm soát,Lợi nhuận thuộc về cổ đông không kiểm soát,50.177.960.703,256.813.665.660,50177960703.0,256813665660.0
Chuyển nhượng cổ phần để giảm tỷ lệ kiểm soát ở công ty con,Chuyển nhượng cổ phần để giảm tỷ lệ kiểm soát ở công ty con,Chuyển nhượng cổ phần để giảm tỷ lệ kiểm soát ở công ty con,(453.456.510.850),-,-453456510850.0,
Chia cổ tức,Chia cổ tức,Chia cổ tức,(184.950.000.000),(18.750.000.000),-184950000000.0,-18750000000.0
Cổ đông không kiểm soát góp vốn,Cổ đông không kiểm soát góp vốn,Cổ đông không kiểm soát góp vốn,-,1.175.000.000.000,,1175000000000.0
Số cuối năm,Số cuối năm,Số cuối năm,1.777.409.947.814,2.365.638.497.961,1777409947814.0,2365638497961.0
