row_label_raw,row_label_full,col_0,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Đơn vị tính: VND > Số cuối năm > Giá trị,Đơn vị tính: VND > Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Đơn vị tính: VND > Số cuối năm > Giá trị,numeric__Đơn vị tính: VND > Số cuối năm > Số có khả năng trả nợ
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,,,
Vay ngân hàng(Thuyết minh số 20.1),Vay ngắn hạn > Vay ngân hàng(Thuyết minh số 20.1),Vay ngân hàng(Thuyết minh số 20.1),364.970.271.516,364.970.271.516,644.498.712.174,(364.970.271.516),644.498.712.174,644.498.712.174,364970271516.0,364970271516.0,644498712174.0,-364970271516.0,644498712174.0,644498712174.0
Trải phiếu dài hạn đến hạn trả(Thuyết minh số 20.2),Vay ngắn hạn > Trải phiếu dài hạn đến hạn trả(Thuyết minh số 20.2),Trải phiếu dài hạn đến hạn trả(Thuyết minh số 20.2),796.228.333.336,796.228.333.336,2.934.370.530.298,(847.900.997.475),2.882.697.866.159,2.882.697.866.159,796228333336.0,796228333336.0,2934370530298.0,-847900997475.0,2882697866159.0,2882697866159.0
Vay các bên liên quan(Thuyết minh số 30),Vay ngắn hạn > Vay các bên liên quan(Thuyết minh số 30),Vay các bên liên quan(Thuyết minh số 30),248.897.296.043,248.897.296.043,-,(98.597.296.043),150.300.000.000,150.300.000.000,248897296043.0,248897296043.0,,-98597296043.0,150300000000.0,150300000000.0
Vay đối tượng khác(Thuyết minh số 20.3),Vay ngắn hạn > Vay đối tượng khác(Thuyết minh số 20.3),Vay đối tượng khác(Thuyết minh số 20.3),105.000.000.000,105.000.000.000,215.380.000.000,(46.500.000.000),273.880.000.000,273.880.000.000,105000000000.0,105000000000.0,215380000000.0,-46500000000.0,273880000000.0,273880000000.0
TỔNG CỘNG,Vay ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,1.515.095.900.895,1.515.095.900.895,3.794.249.242.472,(1.357.968.565.034),3.951.376.578.333,3.951.376.578.333,1515095900895.0,1515095900895.0,3794249242472.0,-1357968565034.0,3951376578333.0,3951376578333.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,
Vay ngân hàng(Thuyết minh số 20.1),Vay dài hạn > Vay ngân hàng(Thuyết minh số 20.1),Vay ngân hàng(Thuyết minh số 20.1),2.306.204.334.062,2.306.204.334.062,513.820.159.353,(107.604.743.767),2.712.419.749.648,2.712.419.749.648,2306204334062.0,2306204334062.0,513820159353.0,-107604743767.0,2712419749648.0,2712419749648.0
Trải phiếu phát hành(Thuyết minh số 20.2),Vay dài hạn > Trải phiếu phát hành(Thuyết minh số 20.2),Trải phiếu phát hành(Thuyết minh số 20.2),3.233.059.581.397,3.233.059.581.397,665.741.688.542,(2.924.131.677.273),974.669.592.666,974.669.592.666,3233059581397.0,3233059581397.0,665741688542.0,-2924131677273.0,974669592666.0,974669592666.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,5.539.263.915.459,5.539.263.915.459,1.179.561.847.895,(3.031.736.421.040),3.687.089.342.314,3.687.089.342.314,5539263915459.0,5539263915459.0,1179561847895.0,-3031736421040.0,3687089342314.0,3687089342314.0
