row_label_raw,row_label_full,Khoản mục > Bảng cân đối kế toán hợp nhất vào ngày 31 tháng 12 năm 2021,Số trước điều chỉnh > Bảng cân đối kế toán hợp nhất vào ngày 31 tháng 12 năm 2021,Điều chỉnh > Bảng cân đối kế toán hợp nhất vào ngày 31 tháng 12 năm 2021,Số sau điều chỉnh > Bảng cân đối kế toán hợp nhất vào ngày 31 tháng 12 năm 2021,numeric__Số trước điều chỉnh > Bảng cân đối kế toán hợp nhất vào ngày 31 tháng 12 năm 2021,numeric__Điều chỉnh > Bảng cân đối kế toán hợp nhất vào ngày 31 tháng 12 năm 2021,numeric__Số sau điều chỉnh > Bảng cân đối kế toán hợp nhất vào ngày 31 tháng 12 năm 2021
"Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết","Đầu tư vào các công ty liên doanh, liên kết",1.484.295.149.429,397.862.550.000,1.882.157.699.429,1484295149429.0,397862550000.0,1882157699429.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,5.098.791.537.715,312.578.502.060,5.411.370.039.775,5098791537715.0,312578502060.0,5411370039775.0
Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,Lợi ích cổ đông không kiểm soát,2.280.354.450.021,85.284.047.940,2.365.638.497.961,2280354450021.0,85284047940.0,2365638497961.0
