row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
Chi phí phát triển cơ sở hạ tầng trích trước đối với bất động sản đã chuyển nhượng,Ngắn hạn > Chi phí phát triển cơ sở hạ tầng trích trước đối với bất động sản đã chuyển nhượng,Chi phí phát triển cơ sở hạ tầng trích trước đối với bất động sản đã chuyển nhượng,1.296.359.898.602,1.368.298.130.598,1296359898602.0,1368298130598.0
Chi phí lãi vay phải trả,Ngắn hạn > Chi phí lãi vay phải trả,Chi phí lãi vay phải trả,50.367.835.542,68.366.423.122,50367835542.0,68366423122.0
Tiền thuê đất trích trước của các khu công nghiệp,Ngắn hạn > Tiền thuê đất trích trước của các khu công nghiệp,Tiền thuê đất trích trước của các khu công nghiệp,40.889.509.387,37.513.311.365,40889509387.0,37513311365.0
Các chi phí phải trả khác,Ngắn hạn > Các chi phí phải trả khác,Các chi phí phải trả khác,25.813.300.376,45.761.764.685,25813300376.0,45761764685.0
Chi phí lãi vay phải trả bên liên quan(Thuyết minh số 30),Ngắn hạn > Chi phí lãi vay phải trả bên liên quan(Thuyết minh số 30),Chi phí lãi vay phải trả bên liên quan(Thuyết minh số 30),5.083.690.677,7.060.433.145,5083690677.0,7060433145.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,1.418.514.234.584,1.527.000.062.915,1418514234584.0,1527000062915.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Chi phí lãi vay phải trả (*),Dài hạn > Chi phí lãi vay phải trả (*),Chi phí lãi vay phải trả (*),1.760.346.557.414,1.430.816.612.872,1760346557414.0,1430816612872.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,1.760.346.557.414,1.430.816.612.872,1760346557414.0,1430816612872.0
