row_label_raw,row_label_full,Bên liên quan > Phải thu dài hạn khác (Thuyết minh số 9),Nội dung nghiệp vụ > Phải thu dài hạn khác (Thuyết minh số 9),Số cuối năm > Phải thu dài hạn khác (Thuyết minh số 9),Đơn vị tính: VND > Số đầu năm > Phải thu dài hạn khác (Thuyết minh số 9),numeric__Nội dung nghiệp vụ > Phải thu dài hạn khác (Thuyết minh số 9),numeric__Số cuối năm > Phải thu dài hạn khác (Thuyết minh số 9),numeric__Đơn vị tính: VND > Số đầu năm > Phải thu dài hạn khác (Thuyết minh số 9)
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Lãi vay phải thu,8.572.342.521,-,,8572342521.0,
Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Lãi vay phải thu,-,1.418.219.178,,,1418219178.0
,,,,8.572.342.521,1.418.219.178,,8572342521.0,1418219178.0
Chi phí phải trả ngắn hạn (Thuyết minh số 18),Chi phí phải trả ngắn hạn (Thuyết minh số 18),Chi phí phải trả ngắn hạn (Thuyết minh số 18),Chi phí phải trả ngắn hạn (Thuyết minh số 18),Chi phí phải trả ngắn hạn (Thuyết minh số 18),Chi phí phải trả ngắn hạn (Thuyết minh số 18),,,
Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Chi phí phải trả ngắn hạn (Thuyết minh số 18) > Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Lãi vay phải trả,2.528.482.193,1.592.482.192,,2528482193.0,1592482192.0
Công ty TNHH Saigontel Long An,Chi phí phải trả ngắn hạn (Thuyết minh số 18) > Công ty TNHH Saigontel Long An,Công ty TNHH Saigontel Long An,Lãi vay phải trả,2.037.328.761,912.328.767,,2037328761.0,912328767.0
Công ty Cổ phần Đầu Tư Và Phát Triển Hạ Tầng Khu CNC Sài Gòn,Chi phí phải trả ngắn hạn (Thuyết minh số 18) > Công ty Cổ phần Đầu Tư Và Phát Triển Hạ Tầng Khu CNC Sài Gòn,Công ty Cổ phần Đầu Tư Và Phát Triển Hạ Tầng Khu CNC Sài Gòn,Lãi vay phải trả,517.879.723,981.879.723,,517879723.0,981879723.0
Công ty Cổ phần Công nghệ Viễn Thông Sài Gòn,Chi phí phải trả ngắn hạn (Thuyết minh số 18) > Công ty Cổ phần Công nghệ Viễn Thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn Thông Sài Gòn,Lãi vay phải trả,-,3.573.742.463,,,3573742463.0
,,,,5.083.690.677,7.060.433.145,,5083690677.0,7060433145.0
Phải trả ngắn hạn khác (Thuyết minh số 19),Phải trả ngắn hạn khác (Thuyết minh số 19),Phải trả ngắn hạn khác (Thuyết minh số 19),Phải trả ngắn hạn khác (Thuyết minh số 19),Phải trả ngắn hạn khác (Thuyết minh số 19),Phải trả ngắn hạn khác (Thuyết minh số 19),,,
