row_label_raw,row_label_full,Bà Nguyễn Bích Ng聚合,Trường ban Kiểm soát,numeric__Trường ban Kiểm soát
Bà Thế Thị Minh Hồng,Bà Thế Thị Minh Hồng,Bà Thế Thị Minh Hồng,Thành viên,
Ông Trần Tiến Thành,Ông Trần Tiến Thành,Ông Trần Tiến Thành,Thành viên,
