row_label_raw,row_label_full,Bên liên quan > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Nội dung nghiệp vụ > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Số cuối năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),Đơn vị tính: VND Số đầu năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),numeric__Nội dung nghiệp vụ > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),numeric__Số cuối năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2),numeric__Đơn vị tính: VND Số đầu năm > Trả trước cho người bán ngắn hạn (Thuyết minh số 7.2)
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Ứng trước phí dịch vụ,1.104.294.970,-,,1104294970.0,
,,,,1.104.294.970,-,,1104294970.0,
Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),Phải thu về cho vay ngắn hạn (Thuyết minh số 8),,,
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn (i),Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > Công ty Cổ phần Công nghệ Viễn thông Sài Gòn (i),Công ty Cổ phần Công nghệ Viễn thông Sài Gòn (i),Cho vay ngắn hạn,490.148.109.224,1.041.376.618.818,,490148109224.0,1041376618818.0
Công ty Cổ phần Khu công nghiệp Sài Gòn - Nhơn Hội (ii),Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > Công ty Cổ phần Khu công nghiệp Sài Gòn - Nhơn Hội (ii),Công ty Cổ phần Khu công nghiệp Sài Gòn - Nhơn Hội (ii),Cho vay ngắn hạn,120.000.000.000,-,,120000000000.0,
Công ty Cổ phần Đầu tư Sài Gòn – Đà Nẵng (iii),Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > Công ty Cổ phần Đầu tư Sài Gòn – Đà Nẵng (iii),Công ty Cổ phần Đầu tư Sài Gòn – Đà Nẵng (iii),Cho vay ngắn hạn,197.521.929.895,12.521.929.895,,197521929895.0,12521929895.0
Công ty TNHH Saigontel Long An (iv),Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > Công ty TNHH Saigontel Long An (iv),Công ty TNHH Saigontel Long An (iv),Cho vay ngắn hạn,121.042.660.000,16.542.660.000,,121042660000.0,16542660000.0
Công ty Cổ phần Đầu tư và Du lịch Sài Gòn - Lâm Đồng (v),Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > Công ty Cổ phần Đầu tư và Du lịch Sài Gòn - Lâm Đồng (v),Công ty Cổ phần Đầu tư và Du lịch Sài Gòn - Lâm Đồng (v),Cho vay ngắn hạn,20.636.189.803,20.636.189.803,,20636189803.0,20636189803.0
Công ty Cổ phần Đầu tư Khu công nghiệp Lê Minh Xuân 2 (vi),Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > Công ty Cổ phần Đầu tư Khu công nghiệp Lê Minh Xuân 2 (vi),Công ty Cổ phần Đầu tư Khu công nghiệp Lê Minh Xuân 2 (vi),Cho vay ngắn hạn,1.700.000.000,1.700.000.000,,1700000000.0,1700000000.0
Công ty Cổ phần Đầu tư Vinatex-Tân tạo,Phải thu về cho vay ngắn hạn (Thuyết minh số 8) > Công ty Cổ phần Đầu tư Vinatex-Tân tạo,Công ty Cổ phần Đầu tư Vinatex-Tân tạo,Cho vay ngắn hạn,-,80.000.000.000,,,80000000000.0
,,,,951.048.888.922,1.172.777.398.516,,951048888922.0,1172777398516.0
Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),Phải thu về cho vay dài hạn (Thuyết minh số 8),,,
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn (vii),Phải thu về cho vay dài hạn (Thuyết minh số 8) > Công ty Cổ phần Công nghệ Viễn thông Sài Gòn (vii),Công ty Cổ phần Công nghệ Viễn thông Sài Gòn (vii),Cho vay dài hạn,124.723.703.957,540.000.000.000,,124723703957.0,540000000000.0
Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Phải thu về cho vay dài hạn (Thuyết minh số 8) > Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Công ty Cổ phần Đầu tư Sài Gòn - Đà Nẵng,Cho vay dài hạn,-,85.000.000.000,,,85000000000.0
,,,,124.723.703.957,625.000.000.000,,124723703957.0,625000000000.0
