row_label_raw,row_label_full,col_0,Thuyết minh số,Số cuối năm,Đơn vị tính: VND Số đầu năm (Trình bày lại),numeric__Thuyết minh số,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm (Trình bày lại)
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,15.1,4.323.949.729.238,1.882.157.699.429,151.0,4323949729238.0,1882157699429.0
Đầu tư dài hạn khác,Đầu tư dài hạn khác,Đầu tư dài hạn khác,15.2,399.500.200.000,438.500.200.000,152.0,399500200000.0,438500200000.0
Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,Dự phòng giảm giá đầu tư dài hạn,,(26.018.164.785),(22.887.918.150),,-26018164785.0,-22887918150.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,4.697.431.764.453,2.297.769.981.279,,4697431764453.0,2297769981279.0
