row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm nay,Năm trước (Trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm nay,numeric__Năm trước (Trình bày lại)
01,01,01,1. Doanh thu bán hàng và cung cấp dịch vụ,23.1,1.397.476.163.499,4.245.981.967.388,,231.0,1397476163499.0,4245981967388.0
02,02,02,2. Các khoản giảm trừ doanh thu,23.1,(447.210.000.000),-,,231.0,-447210000000.0,
10,10,10,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,23.1,950.266.163.499,4.245.981.967.388,,231.0,950266163499.0,4245981967388.0
11,11,11,4. Giá vốn hàng bán và dịch vụ cung cấp,24,(684.515.319.313),(1.778.965.961.226),,24.0,-684515319313.0,-1778965961226.0
20,20,20,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,,265.750.844.186,2.467.016.006.162,,,265750844186.0,2467016006162.0
21,21,21,6. Doanh thu hoạt động tài chính,23.2,339.652.334.340,169.544.625.558,,232.0,339652334340.0,169544625558.0
22,22,22,7. Chi phí tài chính,25,(595.404.542.981),(541.392.222.505),,25.0,-595404542981.0,-541392222505.0
23,23,23,Trong đó: Chi phí lãi vay,,(522.875.219.589),(480.600.549.118),,,-522875219589.0,-480600549118.0
24,24,24,8. Phần lãi trong công ty liên kết,15.1,2.186.822.799.809,411.668.846.572,,151.0,2186822799809.0,411668846572.0
25,25,25,9. Chi phí bán hàng,26,(45.914.808.918),(189.915.851.874),,26.0,-45914808918.0,-189915851874.0
26,26,26,10. Chi phí quản lý doanh nghiệp,26,(464.460.343.994),(428.557.565.443),,26.0,-464460343994.0,-428557565443.0
30,30,30,11. Lợi nhuận thuần từ hoạt động kinh doanh,,1.686.446.282.442,1.888.363.838.470,,,1686446282442.0,1888363838470.0
31,31,31,12. Thu nhập khác,,21.329.080.350,5.378.406.364,,,21329080350.0,5378406364.0
32,32,32,13. Chi phí khác,27,(11.190.277.098),(131.977.203.231),,27.0,-11190277098.0,-131977203231.0
40,40,40,14. Lợi nhuận/(lỗ) khác,,10.138.803.252,(126.598.796.867),,,10138803252.0,-126598796867.0
50,50,50,15. Tổng lợi nhuận kế toán trước thuế,,1.696.585.085.694,1.761.765.041.603,,,1696585085694.0,1761765041603.0
51,51,51,16. Chi phí thuế TNDN hiện hành,29.1,(150.202.907.959),(252.330.651.691),,291.0,-150202907959.0,-252330651691.0
52,52,52,17. Thu nhập/(chi phí) thuế TNDN hoãn lại,29.3,30.146.862.792,(157.737.836.082),,293.0,30146862792.0,-157737836082.0
60,60,60,18. Lợi nhuận sau thuế TNDN,,1.576.529.040.527,1.351.696.553.830,,,1576529040527.0,1351696553830.0
61,61,61,19. Lợi nhuận sau thuế của công ty mẹ,,1.526.351.079.824,1.094.882.888.170,,,1526351079824.0,1094882888170.0
62,62,62,20. Lợi nhuận sau thuế của cổ đông không kiểm soát,,50.177.960.703,256.813.665.660,,,50177960703.0,256813665660.0
70,70,70,21. Lãi cơ bản trên cổ phiếu,31,1.993,1.665,,31.0,1993.0,1665.0
71,71,71,22. Lãi suy giảm trên cổ phiếu,31,1.993,1.665,,31.0,1993.0,1665.0
