row_label_raw,row_label_full,Tên,Chức vụ,Năm nay,Năm nay_1,Năm nay_2,Năm nay_3,Năm trước,Năm trước_1,Năm trước_2,Năm trước_3,numeric__Chức vụ,numeric__Năm nay,numeric__Năm nay_1,numeric__Năm nay_2,numeric__Năm nay_3,numeric__Năm trước,numeric__Năm trước_1,numeric__Năm trước_2,numeric__Năm trước_3
Tên,Tên,Tên,Chức vụ,Thù lao của Hội đồngQuản trị và Ban Kiểm soát,"Tổng thu nhập của Ban Tổng Giám đốc, người quản lý khác và Trường ban kiểm soát",Tổng thuế thu nhập cá nhân phải nộp,Tổng cộng,Thù lao của Hội đồng Quân trị và Ban Kiểm soát,"Tổng thu nhập của Ban Tổng Giám đốc, người quản lý khác và Trường ban kiểm soát",Tổng thuế thu nhập cá nhân phải nộp,Tổng cộng,,,,,,,,,
Nguyễn Thị Thu Hương,Tên > Nguyễn Thị Thu Hương,Nguyễn Thị Thu Hương,"Thành viên Hội đồngQuản trị, Tổng Giám đốc",100.000.000,6.567.001.000,3.280.139.000,9.947.140.000,100.000.000,5.835.434.000,2.857.787.700,8.793.221.700,,100000000.0,6567001000.0,3280139000.0,9947140000.0,100000000.0,5835434000.0,2857787700.0,8793221700.0
Huỳnh Phát,Tên > Huỳnh Phát,Huỳnh Phát,Thành viên Hội đồngQuản trị,100.000.000,-,11.111.111,111.111.111,100.000.000,-,11.111.111,111.111.111,,100000000.0,,11111111.0,111111111.0,100000000.0,,11111111.0,111111111.0
Lê Hoàng Lân,Tên > Lê Hoàng Lân,Lê Hoàng Lân,Thành viên Hội đồngQuản trị độc lập,100.000.000,-,-,100.000.000,-,-,-,-,,100000000.0,,,100000000.0,,,,
Đặng Nguyễn Quỳnh Anh,Tên > Đặng Nguyễn Quỳnh Anh,Đặng Nguyễn Quỳnh Anh,Thành viên Hội đồngQuản trị,100.000.000,-,-,100.000.000,-,-,-,-,,100000000.0,,,100000000.0,,,,
Phạm Phúc Hiếu,Tên > Phạm Phúc Hiếu,Phạm Phúc Hiếu,"Phó Tổng Giám đốc, Kế toán trường",-,2.365.000.000,1.020.538.462,3.385.538.462,100.000.000,2.100.500.000,931.961.700,3.132.461.700,,,2365000000.0,1020538462.0,3385538462.0,100000000.0,2100500000.0,931961700.0,3132461700.0
Nguyễn Mỹ Ngọc,Tên > Nguyễn Mỹ Ngọc,Nguyễn Mỹ Ngọc,Phó Tổng Giám đốc,-,1.665.001.000,643.615.923,2.308.616.923,-,1.628.142.000,623.768.850,2.251.910.850,,,1665001000.0,643615923.0,2308616923.0,,1628142000.0,623768850.0,2251910850.0
Phan Anh Dùng,Tên > Phan Anh Dùng,Phan Anh Dùng,Phó Tổng Giám đốc,-,1.181.782.000,383.421.077,1.565.203.077,-,1.458.834.000,532.602.950,1.991.436.950,,,1181782000.0,383421077.0,1565203077.0,,1458834000.0,532602950.0,1991436950.0
Nguyễn Bích Ngọc,Tên > Nguyễn Bích Ngọc,Nguyễn Bích Ngọc,Trường Ban Kiểm soát,50.000.000,202.459.000,10.669.235,263.128.235,50.000.000,184.634.000,8.070.400,242.704.400,,50000000.0,202459000.0,10669235.0,263128235.0,50000000.0,184634000.0,8070400.0,242704400.0
Thế Thị Minh Hồng,Tên > Thế Thị Minh Hồng,Thế Thị Minh Hồng,Thành viên Ban Kiểm soát,50.000.000,-,5.555.556,55.555.556,50.000.000,-,5.555.556,55.555.556,,50000000.0,,5555556.0,55555556.0,50000000.0,,5555556.0,55555556.0
Trần Tiến Thành,Tên > Trần Tiến Thành,Trần Tiến Thành,Thành viên Ban Kiểm soát,50.000.000,-,5.555.556,55.555.556,50.000.000,-,5.555.556,55.555.556,,50000000.0,,5555556.0,55555556.0,50000000.0,,5555556.0,55555556.0
Nguyễn Vĩnh Thọ,Tên > Nguyễn Vĩnh Thọ,Nguyễn Vĩnh Thọ,Thành viên Hội đồngQuản trị (Miền nhiệm ngày 10 tháng 2 năm 2022),-,-,-,-,340.000.000,-,37.777.778,377.777.778,,,,,,340000000.0,,37777778.0,377777778.0
TỔNG CỘNG,Tên > TỔNG CỘNG,TỔNG CỘNG,,550.000.000,11.981.243.000,5.360.605.920,17.891.848.920,790.000.000,11.207.544.000,5.014.191.601,17.011.735.601,,550000000.0,11981243000.0,5360605920.0,17891848920.0,790000000.0,11207544000.0,5014191601.0,17011735601.0
