row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,1.397.476.163.499,4.245.981.967.388,1397476163499.0,4245981967388.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu cho thuê dài hạn đất và cơ sở hạ tầng (*),Trong đó: > Doanh thu cho thuê dài hạn đất và cơ sở hạ tầng (*),Doanh thu cho thuê dài hạn đất và cơ sở hạ tầng (*),656.976.889.589,3.035.928.242.451,656976889589.0,3035928242451.0
Doanh thu chuyển nhượng bất động sản,Trong đó: > Doanh thu chuyển nhượng bất động sản,Doanh thu chuyển nhượng bất động sản,353.332.703.833,514.582.486.144,353332703833.0,514582486144.0
"Doanh thu cung cấp nước sạch, điện, phí dịch vụ và xử lý nước thải","Trong đó: > Doanh thu cung cấp nước sạch, điện, phí dịch vụ và xử lý nước thải","Doanh thu cung cấp nước sạch, điện, phí dịch vụ và xử lý nước thải",336.980.200.531,304.994.501.884,336980200531.0,304994501884.0
"Doanh thu cho thuê kho, nhà xưởng và văn phòng","Trong đó: > Doanh thu cho thuê kho, nhà xưởng và văn phòng","Doanh thu cho thuê kho, nhà xưởng và văn phòng",50.186.369.546,79.708.870.333,50186369546.0,79708870333.0
Doanh thu bán nhà xưởng,Trong đó: > Doanh thu bán nhà xưởng,Doanh thu bán nhà xưởng,-,310.596.654.520,,310596654520.0
Doanh thu khác,Trong đó: > Doanh thu khác,Doanh thu khác,-,171.212.056,,171212056.0
Các khoản giảm trừ doanh thu,Trong đó: > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,(447.210.000.000),-,-447210000000.0,
Hàng bán bị trả lại (**),Trong đó: > Hàng bán bị trả lại (**),Hàng bán bị trả lại (**),(447.210.000.000),-,-447210000000.0,
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,950.266.163.499,4.245.981.967.388,950266163499.0,4245981967388.0
