row_label_raw,row_label_full,Tổng tài sản thuần theo giá trị hợp lý > Phần giá trị tài sản thuần thuộc sở hữu của Công ty Sài Gòn – Đà Nẵng tại ngày mua,5.793.265.000.000 > 2.780.767.200.000,numeric__5.793.265.000.000 > 2.780.767.200.000
Ảnh hưởng thuế TNDN hoãn lại,Ảnh hưởng thuế TNDN hoãn lại,Ảnh hưởng thuế TNDN hoãn lại,502.694.880.000,502694880000.0
Tổng giá phí khoản đầu tư,Tổng giá phí khoản đầu tư,Tổng giá phí khoản đầu tư,96.000.000.000,96000000000.0
Trong đó bao gồm:,Trong đó bao gồm:,Trong đó bao gồm:,,
Giá gốc của khoản đầu tư vào Công ty Sài Gòn – Đà Nẵng trước ngày mua,Trong đó bao gồm: > Giá gốc của khoản đầu tư vào Công ty Sài Gòn – Đà Nẵng trước ngày mua,Giá gốc của khoản đầu tư vào Công ty Sài Gòn – Đà Nẵng trước ngày mua,39.000.000.000,39000000000.0
Giá phí mua thêm,Trong đó bao gồm: > Giá phí mua thêm,Giá phí mua thêm,57.000.000.000,57000000000.0
