row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Nội dung nghiệp vụ,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội,Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội,Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội,Cho vay,420.000.000.000,-,,420000000000.0,
Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội,Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội,Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội,Thanh toán gốc vay,94.264.000.000,-,,94264000000.0,
Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội,Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội,Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội,Lãi vay phải thu,1.769.863.012,-,,1769863012.0,
Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội,Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội,Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội,"Góp vốn bằng tiền, khoản phải thu cho vay",-,530.000.000.000,,,530000000000.0
Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội,Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội,Công ty Cổ phần Khu công nghiệp Sài Gòn – Nhơn Hội,Nhận gốc vay,-,94.264.000.000,,,94264000000.0
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Cho vay,224.292.000.000,1.522.729.057.481,,224292000000.0,1522729057481.0
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Thu hồi gốc cho vay,1.190.796.805.637,222.500.000.000,,1190796805637.0,222500000000.0
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Nhận gốc vay,-,71.068.296.043,,,71068296043.0
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Trả gốc vay,19.000.000.000,-,,19000000000.0,
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Lãi vay phải thu,37.145.710.657,10.285.614.322,,37145710657.0,10285614322.0
Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Lãi vay nhập gốc,1.700.000.001,1.702.144.931,,1700000001.0,1702144931.0
Công ty Cổ phần Đầu tư và Du lịch Sài Gòn - Lâm Đồng,Công ty Cổ phần Đầu tư và Du lịch Sài Gòn - Lâm Đồng,Công ty Cổ phần Đầu tư và Du lịch Sài Gòn - Lâm Đồng,Cho vay,-,6.558.956.926,,,6558956926.0
Ông Đăng Thành Tâm,Ông Đăng Thành Tâm,Ông Đăng Thành Tâm,Thu hồi tạm ứng,407.000.000.000,147.428.500.000,,407000000000.0,147428500000.0
Ông Đăng Thành Tâm,Ông Đăng Thành Tâm,Ông Đăng Thành Tâm,Tạm ứng,-,555.487.559.000,,,555487559000.0
Ông Đăng Thành Tâm,Ông Đăng Thành Tâm,Ông Đăng Thành Tâm,Phải trả khác,-,1.630.000.000,,,1630000000.0
Ông Đăng Thành Tâm,Ông Đăng Thành Tâm,Ông Đăng Thành Tâm,Nhận gốc vay,-,8.529.000.000,,,8529000000.0
Ông Mai Tuấn Dũng,Ông Mai Tuấn Dũng,Ông Mai Tuấn Dũng,Tạm ứng,26.442.232.606,18.457.029.363,,26442232606.0,18457029363.0
Ông Mai Tuấn Dũng,Ông Mai Tuấn Dũng,Ông Mai Tuấn Dũng,Thu hồi tạm ứng,75.138.800,17.345.596.613,,75138800.0,17345596613.0
Ông Vũ Thanh Dương,Ông Vũ Thanh Dương,Ông Vũ Thanh Dương,Tạm ứng,83.195.336.500,342.977.901.000,,83195336500.0,342977901000.0
Ông Vũ Thanh Dương,Ông Vũ Thanh Dương,Ông Vũ Thanh Dương,Thu hồi tạm ứng,83.000.000.000,61.000.000.000,,83000000000.0,61000000000.0
Ông Vũ Ngọc Ánh,Ông Vũ Ngọc Ánh,Ông Vũ Ngọc Ánh,Thu hồi tạm ứng,4.890.000.000,1.400.000.000,,4890000000.0,1400000000.0
