row_label_raw,row_label_full,col_0,Số đầu năm,Số phải nộp trong năm,Số đã nộp trong năm,Đơn vị tính: VND > Số cuối năm,numeric__Số đầu năm,numeric__Số phải nộp trong năm,numeric__Số đã nộp trong năm,numeric__Đơn vị tính: VND > Số cuối năm
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế giá trị gia tăng,Phải nộp > Thuế giá trị gia tăng,Thuế giá trị gia tăng,36.346.688.123,128.921.186.576,(135.403.878.689),29.863.996.010,36346688123.0,128921186576.0,-135403878689.0,29863996010.0
Thuế thu nhập doanh nghiệp(Thuyết minh số 29),Phải nộp > Thuế thu nhập doanh nghiệp(Thuyết minh số 29),Thuế thu nhập doanh nghiệp(Thuyết minh số 29),103.257.556.096,150.202.907.959,(145.571.188.029),107.889.276.026,103257556096.0,150202907959.0,-145571188029.0,107889276026.0
Thuế thu nhập cá nhân,Phải nộp > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,437.178.276,20.568.483.952,(19.359.185.099),1.646.477.129,437178276.0,20568483952.0,-19359185099.0,1646477129.0
Các khoản phải nộp Nhà nước khác,Phải nộp > Các khoản phải nộp Nhà nước khác,Các khoản phải nộp Nhà nước khác,9.260.503.602,20.249.819.049,(23.576.495.244),5.933.827.407,9260503602.0,20249819049.0,-23576495244.0,5933827407.0
TỔNG CỘNG,Phải nộp > TỔNG CỘNG,TỔNG CỘNG,149.301.926.097,319.942.397.536,(323.910.747.061),145.333.576.572,149301926097.0,319942397536.0,-323910747061.0,145333576572.0
,,,Số đầu năm,Số phải thu trong nămtrong năm,Số cán trừ trong năm,Số cuối năm,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế giá trị gia tăng được khấu trừ,Phải thu > Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,136.584.272.359,120.116.635.446,(48.735.393.740),207.965.514.065,136584272359.0,120116635446.0,-48735393740.0,207965514065.0
Thuế thu nhập doanh nghiệp(Thuyết minh số 29),Phải thu > Thuế thu nhập doanh nghiệp(Thuyết minh số 29),Thuế thu nhập doanh nghiệp(Thuyết minh số 29),27.183.624.284,26.581.307.744,-,53.764.932.028,27183624284.0,26581307744.0,,53764932028.0
Thuế khác,Phải thu > Thuế khác,Thuế khác,2.327.581.447,-,(2.327.581.447),-,2327581447.0,,-2327581447.0,
TỔNG CỘNG,Phải thu > TỔNG CỘNG,TỔNG CỘNG,166.095.478.090,146.697.943.190,(51.062.975.187),261.730.446.093,166095478090.0,146697943190.0,-51062975187.0,261730446093.0
