row_label_raw,row_label_full,Năm trước (Trình bày lại) > Số đầu năm > - Tăng vốn trong năm,Vốn cổ phần đã góp > Năm trước (Trình bày lại) > 4.757.111.670.000 > 1.000.000.000.000,Thặng dư vốn cổ phần > Năm trước (Trình bày lại) > 989.064.430.000 > 2.408.280.000.000,Cổ phiếu quỹ > Năm trước (Trình bày lại) > (364.466.650.000) > -,Quỹ đầu tư phát triển > Năm trước (Trình bày lại) > 2.223.693.823 > -,Lợi nhuận sau thuế chưa phân phối > Năm trước (Trình bày lại) > 4.316.487.151.605 > -,Lợi ích cổ đông không kiểm soát > Năm trước (Trình bày lại) > 952.574.832.301 > -,Đơn vị tính: VND Tổng cộng > Năm trước (Trình bày lại) > 10.652.995.127.729 > 3.408.280.000.000,numeric__Vốn cổ phần đã góp > Năm trước (Trình bày lại) > 4.757.111.670.000 > 1.000.000.000.000,numeric__Thặng dư vốn cổ phần > Năm trước (Trình bày lại) > 989.064.430.000 > 2.408.280.000.000,numeric__Cổ phiếu quỹ > Năm trước (Trình bày lại) > (364.466.650.000) > -,numeric__Quỹ đầu tư phát triển > Năm trước (Trình bày lại) > 2.223.693.823 > -,numeric__Lợi nhuận sau thuế chưa phân phối > Năm trước (Trình bày lại) > 4.316.487.151.605 > -,numeric__Lợi ích cổ đông không kiểm soát > Năm trước (Trình bày lại) > 952.574.832.301 > -,numeric__Đơn vị tính: VND Tổng cộng > Năm trước (Trình bày lại) > 10.652.995.127.729 > 3.408.280.000.000
- Cổ đông không kiểm soát góp vốn vào công ty con,- Cổ đông không kiểm soát góp vốn vào công ty con,- Cổ đông không kiểm soát góp vốn vào công ty con,-,-,-,-,,1.175.000.000.000,1.175.000.000.000,,,,,,1175000000000.0,1175000000000.0
- Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,-,1.094.882.888.170,256.813.665.660,1.351.696.553.830,,,,,1094882888170.0,256813665660.0,1351696553830.0
- Chia cổ tức,- Chia cổ tức,- Chia cổ tức,-,-,-,-,-,(18.750.000.000),(18.750.000.000),,,,,,-18750000000.0,-18750000000.0
Số cuối năm,Số cuối năm,Số cuối năm,5.757.111.670.000,3.397.344.430.000,(364.466.650.000),2.223.693.823,5.411.370.039.775,2.365.638.497.961,16.569.221.681.559,5757111670000.0,3397344430000.0,-364466650000.0,2223693823.0,5411370039775.0,2365638497961.0,16569221681559.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,5.757.111.670.000,3.397.344.430.000,(364.466.650.000),2.223.693.823,5.411.370.039.775,2.365.638.497.961,16.569.221.681.559,5757111670000.0,3397344430000.0,-364466650000.0,2223693823.0,5411370039775.0,2365638497961.0,16569221681559.0
- Phát hành cổ phiếu quỹ (*),Năm nay > - Phát hành cổ phiếu quỹ (*),- Phát hành cổ phiếu quỹ (*),-,(29.748.080.000),364.466.650.000,-,-,-,334.718.570.000,,-29748080000.0,364466650000.0,,,,334718570000.0
- Tăng vốn cổ phần từ nguồn VCSH (**),Năm nay > - Tăng vốn cổ phần từ nguồn VCSH (**),- Tăng vốn cổ phần từ nguồn VCSH (**),1.918.935.920.000,(624.066.780.000),-,-,(1.294.869.140.000),-,-,1918935920000.0,-624066780000.0,,,-1294869140000.0,,
- Thay đổi tỷ lệ kiểm soát ở công ty con (***),Năm nay > - Thay đổi tỷ lệ kiểm soát ở công ty con (***),- Thay đổi tỷ lệ kiểm soát ở công ty con (***),-,-,-,-,3.456.510.850,(453.456.510.850),(450.000.000.000),,,,,3456510850.0,-453456510850.0,-450000000000.0
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,-,1.526.351.079.824,50.177.960.703,1.576.529.040.527,,,,,1526351079824.0,50177960703.0,1576529040527.0
- Cổ tức/lợi nhuận được chia công bố,Năm nay > - Cổ tức/lợi nhuận được chia công bố,- Cổ tức/lợi nhuận được chia công bố,-,-,-,-,-,(184.950.000.000),(184.950.000.000),,,,,,-184950000000.0,-184950000000.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,7.676.047.590.000,2.743.529.570.000,-,2.223.693.823,5.646.308.490.449,1.777.409.947.814,17.845.519.292.086,7676047590000.0,2743529570000.0,,2223693823.0,5646308490449.0,1777409947814.0,17845519292086.0
