row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Dự phòng,Đơn vị tính: VND > Số đầu năm > Giá trị,Đơn vị tính: VND > Số đầu năm > Dự phòng,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Dự phòng,numeric__Đơn vị tính: VND > Số đầu năm > Giá trị,numeric__Đơn vị tính: VND > Số đầu năm > Dự phòng
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Đặt cọc mua cổ phần (i),Ngắn hạn > Đặt cọc mua cổ phần (i),Đặt cọc mua cổ phần (i),242.049.763.870,-,237.365.756.101,-,242049763870.0,,237365756101.0,
Tạm ứng cho nhân viên (ii),Ngắn hạn > Tạm ứng cho nhân viên (ii),Tạm ứng cho nhân viên (ii),1.579.570.462.595,-,902.301.138.641,-,1579570462595.0,,902301138641.0,
- Bà Nguyễn Thị Yến,Ngắn hạn > - Bà Nguyễn Thị Yến,- Bà Nguyễn Thị Yến,112.740.200.000,-,128.330.100.000,-,112740200000.0,,128330100000.0,
- Ông Mai Nho Tường,Ngắn hạn > - Ông Mai Nho Tường,- Ông Mai Nho Tường,954.944.009.673,-,389.805.787.240,-,954944009673.0,,389805787240.0,
- Các đối tượng khác,Ngắn hạn > - Các đối tượng khác,- Các đối tượng khác,511.886.252.922,-,384.165.251.401,-,511886252922.0,,384165251401.0,
Công ty Cổ phần Dịch vụ Kinh Bắc (iii),Ngắn hạn > Công ty Cổ phần Dịch vụ Kinh Bắc (iii),Công ty Cổ phần Dịch vụ Kinh Bắc (iii),300.000.000.000,-,-,-,300000000000.0,,,
Phải thu về lãi cho vay,Ngắn hạn > Phải thu về lãi cho vay,Phải thu về lãi cho vay,150.631.910.842,-,123.159.380.292,-,150631910842.0,,123159380292.0,
Sở Kế hoạch và Đầu tư tỉnh Long An (iv),Ngắn hạn > Sở Kế hoạch và Đầu tư tỉnh Long An (iv),Sở Kế hoạch và Đầu tư tỉnh Long An (iv),51.267.000.000,-,51.241.500.000,-,51267000000.0,,51241500000.0,
Ủy ban Nhận dân tỉnh Bắc Ninh (v),Ngắn hạn > Ủy ban Nhận dân tỉnh Bắc Ninh (v),Ủy ban Nhận dân tỉnh Bắc Ninh (v),19.440.000.000,-,19.440.000.000,-,19440000000.0,,19440000000.0,
Phải thu tiền đặt cọc (vi),Ngắn hạn > Phải thu tiền đặt cọc (vi),Phải thu tiền đặt cọc (vi),12.851.128.404,-,12.851.128.404,-,12851128404.0,,12851128404.0,
Phải thu khác,Ngắn hạn > Phải thu khác,Phải thu khác,154.967.222.147,-,38.766.757.379,-,154967222147.0,,38766757379.0,
Phải thu khác các bên liên quan(Thuyết minh số 30),Ngắn hạn > Phải thu khác các bên liên quan(Thuyết minh số 30),Phải thu khác các bên liên quan(Thuyết minh số 30),1.144.017.019.092,-,867.535.656.321,-,1144017019092.0,,867535656321.0,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,3.654.794.506.950,-,2.252.661.317.138,-,3654794506950.0,,2252661317138.0,
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Phải thu theo hợp đồng hợp tác kinh doanh (vii),Dài hạn > Phải thu theo hợp đồng hợp tác kinh doanh (vii),Phải thu theo hợp đồng hợp tác kinh doanh (vii),200.000.000.000,-,-,-,200000000000.0,,,
Công ty Cổ phần Đầu tư Láng Hạ (viii),Dài hạn > Công ty Cổ phần Đầu tư Láng Hạ (viii),Công ty Cổ phần Đầu tư Láng Hạ (viii),175.151.127.545,-,168.463.936.017,-,175151127545.0,,168463936017.0,
Công ty Cổ phần Dịch vụ Kinh Bắc,Dài hạn > Công ty Cổ phần Dịch vụ Kinh Bắc,Công ty Cổ phần Dịch vụ Kinh Bắc,211.408.428.710,-,257.425.617.169,-,211408428710.0,,257425617169.0,
Phải thu dài hạn khác,Dài hạn > Phải thu dài hạn khác,Phải thu dài hạn khác,77.018.097.530,-,1.024.691.499,-,77018097530.0,,1024691499.0,
Phải thu khác các bên liên quan(Thuyết minh số 30),Dài hạn > Phải thu khác các bên liên quan(Thuyết minh số 30),Phải thu khác các bên liên quan(Thuyết minh số 30),8.572.342.521,-,1.418.219.178,-,8572342521.0,,1418219178.0,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,672.149.996.306,-,428.332.463.863,-,672149996306.0,,428332463863.0,
