row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Giá trị hợp lý tại ngày mua,numeric__Đơn vị tính: VND > Giá trị hợp lý tại ngày mua
Tài sản,Tài sản,Tài sản,7.122.534.000.000,7122534000000.0
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,26.648.000.000,26648000000.0
Đầu tư tài chính,Đầu tư tài chính,Đầu tư tài chính,6.048.000.000,6048000000.0
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,160.782.000.000,160782000000.0
Các tài sản khác,Các tài sản khác,Các tài sản khác,37.247.000.000,37247000000.0
Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,169.100.000.000,169100000000.0
Tài sản cố định,Tài sản cố định,Tài sản cố định,8.933.000.000,8933000000.0
Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,318.067.000.000,318067000000.0
Hàng tồn kho và bất động sản đầu tư,Hàng tồn kho và bất động sản đầu tư,Hàng tồn kho và bất động sản đầu tư,6.395.709.000.000,6395709000000.0
