row_label_raw,row_label_full,col_0,Don vị tính: VND,Don vị tính: VND_1,numeric__Don vị tính: VND,numeric__Don vị tính: VND_1
,,,Năm nay,Năm trước,,
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
"Phí tư vấn, môi giới bán hàng","Chi phí bán hàng > Phí tư vấn, môi giới bán hàng","Phí tư vấn, môi giới bán hàng",33.314.251.443,172.475.781.597,33314251443.0,172475781597.0
Chi phí nhân viên bán hàng,Chi phí bán hàng > Chi phí nhân viên bán hàng,Chi phí nhân viên bán hàng,5.027.249.643,3.251.383.000,5027249643.0,3251383000.0
Khác,Chi phí bán hàng > Khác,Khác,7.573.307.832,14.188.687.277,7573307832.0,14188687277.0
TỔNG CỘNG,Chi phí bán hàng > TỔNG CỘNG,TỔNG CỘNG,45.914.808.918,189.915.851.874,45914808918.0,189915851874.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
Chi phí nhân viên quản lý,Chi phí quản lý doanh nghiệp > Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,156.605.916.959,135.221.477.065,156605916959.0,135221477065.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,107.445.309.269,67.539.666.483,107445309269.0,67539666483.0
Chi phí tài trợ,Chi phí quản lý doanh nghiệp > Chi phí tài trợ,Chi phí tài trợ,72.763.587.168,169.197.677.614,72763587168.0,169197677614.0
Chi phí dự phòng,Chi phí quản lý doanh nghiệp > Chi phí dự phòng,Chi phí dự phòng,27.110.126.190,9.083.300.000,27110126190.0,9083300000.0
Chi phí khấu hao TSCĐ,Chi phí quản lý doanh nghiệp > Chi phí khấu hao TSCĐ,Chi phí khấu hao TSCĐ,17.590.267.872,15.316.566.781,17590267872.0,15316566781.0
Khác,Chi phí quản lý doanh nghiệp > Khác,Khác,82.945.136.536,32.198.877.500,82945136536.0,32198877500.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,464.460.343.994,428.557.565.443,464460343994.0,428557565443.0
