row_label_raw,row_label_full,col_0,Đơn vị tính: VND > Năm nay,Đơn vị tính: VND > Năm trước,numeric__Đơn vị tính: VND > Năm nay,numeric__Đơn vị tính: VND > Năm trước
Chi phí thuế TNDN hiện hành(Thu nhập)/chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hiện hành(Thu nhập)/chi phí thuế TNDN hoãn lại,Chi phí thuế TNDN hiện hành(Thu nhập)/chi phí thuế TNDN hoãn lại,150.202.907.959(30.146.862.792),252.330.651.691157.737.836.082,,2.5233065169115773e+23
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,120.056.045.167,410.068.487.773,120056045167.0,410068487773.0
Dưới đây là đối chiếu chi phí thuế TNDN và kết quả của lợi nhuận kế toán trước thuế nhân với thuế suất thuế TNDN:,Dưới đây là đối chiếu chi phí thuế TNDN và kết quả của lợi nhuận kế toán trước thuế nhân với thuế suất thuế TNDN:,Dưới đây là đối chiếu chi phí thuế TNDN và kết quả của lợi nhuận kế toán trước thuế nhân với thuế suất thuế TNDN:,Dưới đây là đối chiếu chi phí thuế TNDN và kết quả của lợi nhuận kế toán trước thuế nhân với thuế suất thuế TNDN:,Dưới đây là đối chiếu chi phí thuế TNDN và kết quả của lợi nhuận kế toán trước thuế nhân với thuế suất thuế TNDN:,,
,,,Đơn vị tính: VND,Đơn vị tính: VND,,
,,,Năm nay,Năm trước,,
Tổng lợi nhuận kế toán trước thuế,Dưới đây là đối chiếu chi phí thuế TNDN và kết quả của lợi nhuận kế toán trước thuế nhân với thuế suất thuế TNDN: > Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,1.696.585.085.694,1.761.765.041.603,1696585085694.0,1761765041603.0
Thuế TNDN theo các thuế suất áp dụng cho Tập đoàn,Dưới đây là đối chiếu chi phí thuế TNDN và kết quả của lợi nhuận kế toán trước thuế nhân với thuế suất thuế TNDN: > Thuế TNDN theo các thuế suất áp dụng cho Tập đoàn,Thuế TNDN theo các thuế suất áp dụng cho Tập đoàn,(86.029.382.705),345.194.614.697,-86029382705.0,345194614697.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Thuế suất 5% của hoạt động cho thuê đất và cơ sở hạ tầng đang trong thời gian ưu đãi,Trong đó: > Thuế suất 5% của hoạt động cho thuê đất và cơ sở hạ tầng đang trong thời gian ưu đãi,Thuế suất 5% của hoạt động cho thuê đất và cơ sở hạ tầng đang trong thời gian ưu đãi,1.252.765.021,236.287.827,1252765021.0,236287827.0
Thuế suất 10% của hoạt động cho thuê đất và cơ sở hạ tầng đang trong thời gian ưu đãi,Trong đó: > Thuế suất 10% của hoạt động cho thuê đất và cơ sở hạ tầng đang trong thời gian ưu đãi,Thuế suất 10% của hoạt động cho thuê đất và cơ sở hạ tầng đang trong thời gian ưu đãi,2.250.712.027,2.150.592.923,2250712027.0,2150592923.0
Thuế suất 20% của các hoạt động khác,Trong đó: > Thuế suất 20% của các hoạt động khác,Thuế suất 20% của các hoạt động khác,(89.532.859.753),342.807.733.947,-89532859753.0,342807733947.0
Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,Các khoản điều chỉnh:,,
Chi phí không được khấu trừ thuế,Các khoản điều chỉnh: > Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,22.984.378.277,13.179.559.866,22984378277.0,13179559866.0
Lãi vay vượt mức quy định theo Nghị định số 132/2020/NĐ-CP,Các khoản điều chỉnh: > Lãi vay vượt mức quy định theo Nghị định số 132/2020/NĐ-CP,Lãi vay vượt mức quy định theo Nghị định số 132/2020/NĐ-CP,48.467.311.588,51.694.313.210,48467311588.0,51694313210.0
Tài sản thuế thu nhập hoãn lại chưa ghi nhận liên quan đến khoản lỗ thuế,Các khoản điều chỉnh: > Tài sản thuế thu nhập hoãn lại chưa ghi nhận liên quan đến khoản lỗ thuế,Tài sản thuế thu nhập hoãn lại chưa ghi nhận liên quan đến khoản lỗ thuế,134.633.738.007,-,134633738007.0,
Chi phí thuế TNDN,Các khoản điều chỉnh: > Chi phí thuế TNDN,Chi phí thuế TNDN,120.056.045.167,410.068.487.773,120056045167.0,410068487773.0
