row_label_raw,row_label_full,Theo QD 15/2006/QD-BTC > Tên chỉ tiêu,Theo QD 15/2006/QD-BTC > Mã số,Theo QD 15/2006/QD-BTC > 31/12/2014(VND),Theo TT 200/2014/TT-BTC > Tên chỉ tiêu,Theo TT 200/2014/TT-BTC > Mã số,Thay đổi > 31/12/2014(VND),numeric__Theo QD 15/2006/QD-BTC > Mã số,numeric__Theo QD 15/2006/QD-BTC > 31/12/2014(VND),numeric__Theo TT 200/2014/TT-BTC > Tên chỉ tiêu,numeric__Theo TT 200/2014/TT-BTC > Mã số,numeric__Thay đổi > 31/12/2014(VND)
A. BẢNG CÂN ĐỐI KẾ TOÁN,A. BẢNG CÂN ĐỐI KẾ TOÁN,A. BẢNG CÂN ĐỐI KẾ TOÁN,A. BẢNG CÂN ĐỐI KẾ TOÁN,A. BẢNG CÂN ĐỐI KẾ TOÁN,A. BẢNG CÂN ĐỐI KẾ TOÁN,A. BẢNG CÂN ĐỐI KẾ TOÁN,A. BẢNG CÂN ĐỐI KẾ TOÁN,,,,,
I. Tài sản,I. Tài sản,I. Tài sản,,,I. Tài sản,,,,,,,
1. Đầu tư ngắn hạn,I. Tài sản > 1. Đầu tư ngắn hạn,1. Đầu tư ngắn hạn,121,1.696.600.283.780,Không có chi tiêu tương ứng,,,121.0,1696600283780.0,,,
2. Dự phòng giảm giá đầu tư tài chính ngắn hạn,I. Tài sản > 2. Dự phòng giảm giá đầu tư tài chính ngắn hạn,2. Dự phòng giảm giá đầu tư tài chính ngắn hạn,129,(12.725.283.780),Không có chi tiêu tương ứng,,,129.0,-12725283780.0,,,
Không có chi tiêu tương ứng,I. Tài sản > Không có chi tiêu tương ứng,Không có chi tiêu tương ứng,,,1. Đầu tư nằm giữ đến ngày đáo hạn,123,1.683.875.000.000 Trình bày lại,,,,123.0,
3. Phải thu khách hàng,I. Tài sản > 3. Phải thu khách hàng,3. Phải thu khách hàng,131,4.200.201.201.244,2. Phải thu ngắn hạn của khách hàng,131,4.227.147.634.336 Trình bày lại và đổi tên,131.0,4200201201244.0,,131.0,
4. Trả trước cho người bán,I. Tài sản > 4. Trả trước cho người bán,4. Trả trước cho người bán,132,631.737.398.040,3. Trả trước cho người bán ngắn hạn,132,631.737.398.040 Đối tên,132.0,631737398040.0,,132.0,
5. Các khoản phải thu khác,I. Tài sản > 5. Các khoản phải thu khác,5. Các khoản phải thu khác,135,283.825.017.475,4. Phải thu ngắn hạn khác.,136,356.090.051.057 Trình bày lại và đổi tên,135.0,283825017475.0,,136.0,
Không có chi tiêu tương ứng,I. Tài sản > Không có chi tiêu tương ứng,Không có chi tiêu tương ứng,,,5 Tài sản thiếu chờ xử lý,136,186.346.432 Trình bày lại,,,,136.0,
6. Tài sản ngắn hạn khác,I. Tài sản > 6. Tài sản ngắn hạn khác,6. Tài sản ngắn hạn khác,158,99.397.813.106,6. Tài sản ngắn hạn khác,155,- Trình bày lại,158.0,99397813106.0,,155.0,
7. Phải thu dài hạn khác,I. Tài sản > 7. Phải thu dài hạn khác,7. Phải thu dài hạn khác,218,-,7. Phải thu dài hạn khác,216,25.490.795.105 Trình bày lại,218.0,,,216.0,
8. Dự phòng giảm giá đầu tư tài chính dài hạn,I. Tài sản > 8. Dự phòng giảm giá đầu tư tài chính dài hạn,8. Dự phòng giảm giá đầu tư tài chính dài hạn,259,(75.000.000.000),8. Dự phòng đầu tư tài chính dài hạn,254,(75.000.000.000) Đối tên,259.0,-75000000000.0,,254.0,
9. Tài sản dài hạn khác,I. Tài sản > 9. Tài sản dài hạn khác,9. Tài sản dài hạn khác,268,25.490.795.105,9. Tài sản dài hạn khác,268,- Trình bày lại,268.0,25490795105.0,,268.0,
II. Nguồn vốn,II. Nguồn vốn,II. Nguồn vốn,,,II. Nguồn vốn,,,,,,,
1. Phải trả người bán,II. Nguồn vốn > 1. Phải trả người bán,1. Phải trả người bán,312,1.782.284.125.251,1. Phải trả người bán ngắn hạn,311,1.782.284.125.251 Đối tên,312.0,1782284125251.0,,311.0,
2. Người mua trả tiền trước,II. Nguồn vốn > 2. Người mua trả tiền trước,2. Người mua trả tiền trước,313,123.166.550.322,2. Người mua trả tiền trước ngắn hạn,312,123.166.550.322 Đối tên,313.0,123166550322.0,,312.0,
3. Chi phí phải trả,II. Nguồn vốn > 3. Chi phí phải trả,3. Chi phí phải trả,316,1.510.725.063.882,3. Chi phí phải trả ngắn hạn,315,1.184.508.998.173 Trình bày lại và đổi tên,316.0,1510725063882.0,,315.0,
4. Phải trả nội bộ,II. Nguồn vốn > 4. Phải trả nội bộ,4. Phải trả nội bộ,317,77.135.056.337,4. Phải trả nội bộ ngắn hạn,316,- Trình bày lại,317.0,77135056337.0,,316.0,
"5. Các khoản phải trả, phải nộp ngắn hạn khác","II. Nguồn vốn > 5. Các khoản phải trả, phải nộp ngắn hạn khác","5. Các khoản phải trả, phải nộp ngắn hạn khác",319,2.661.738.576.187,5. Phải trả ngắn hạn khác,319,2.738.873.632.524 Trình bày lại và đổi tên,319.0,2661738576187.0,,319.0,
Không có chi tiêu tương ứng,II. Nguồn vốn > Không có chi tiêu tương ứng,Không có chi tiêu tương ứng,,,6. Doanh thu chưa thực hiện ngắn hạn,318,35.424.063.091 Trình bày lại và đổi tên,,,,318.0,
6. Dự phòng phải trả ngắn hạn,II. Nguồn vốn > 6. Dự phòng phải trả ngắn hạn,6. Dự phòng phải trả ngắn hạn,320,-,7. Dự phòng phải trả ngắn hạn,321,99.095.022.162 Trình bày lại,320.0,,,321.0,
7. Dự phòng phải trả dài hạn,II. Nguồn vốn > 7. Dự phòng phải trả dài hạn,7. Dự phòng phải trả dài hạn,337,107.267.382.914,8. Dự phòng phải trả dài hạn,342,334.388.426.461 Trình bày lại,337.0,107267382914.0,,342.0,
8. Doanh thu chưa thực hiện,II. Nguồn vốn > 8. Doanh thu chưa thực hiện,8. Doanh thu chưa thực hiện,338,35.424.063.091,9. Doanh thu chưa thực hiện dài hạn,336,- Trình bày lại và đổi tên,338.0,35424063091.0,,336.0,
9. Vốn đầu tư của chủ sở hữu,II. Nguồn vốn > 9. Vốn đầu tư của chủ sở hữu,9. Vốn đầu tư của chủ sở hữu,411,18.950.000.000.000,10. Vốn góp của chủ sở hữu,411,18.950.000.000.000 Đối tên,411.0,18950000000000.0,,411.0,
Không có chi tiêu tương ứng,Không có chi tiêu tương ứng,Không có chi tiêu tương ứng,,,11. Cổ phiếu phổ thông có quyền biểu quyết,411a,18.950.000.000.000 Trình bày lại và đổi tên,,,,,
10. Quỹ đầu tư phát triển,Không có chi tiêu tương ứng > 10. Quỹ đầu tư phát triển,10. Quỹ đầu tư phát triển,417,7.628.468.040.217,12. Quỹ đầu tư phát triển,418,11.691.641.648.790 Trình bày lại,417.0,7628468040217.0,,418.0,
11. Quỹ dự phòng tài chính,Không có chi tiêu tương ứng > 11. Quỹ dự phòng tài chính,11. Quỹ dự phòng tài chính,418,4.063.173.608.573,Không có chi tiêu tương ứng,,Trình bày lại và đổi tên,418.0,4063173608573.0,,,
