row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Năm 2015,Năm 2014(Trình bày lại),numeric__Mã số,numeric__Năm 2015,numeric__Năm 2014(Trình bày lại)
III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,
1. Tiền mua lại cổ phiếu của doanh nghiệp đã phát hành,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 1. Tiền mua lại cổ phiếu của doanh nghiệp đã phát hành,1. Tiền mua lại cổ phiếu của doanh nghiệp đã phát hành,32,(40.111.223.937),-,32.0,-40111223937.0,
2. Tiền thu từ đi vay,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 2. Tiền thu từ đi vay,2. Tiền thu từ đi vay,33,4.123.189.844.032,6.243.748.745.580,33.0,4123189844032.0,6243748745580.0
3. Tiền trả nợ gốc vay,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 3. Tiền trả nợ gốc vay,3. Tiền trả nợ gốc vay,34,(5.724.457.031.633),(6.140.037.307.744),34.0,-5724457031633.0,-6140037307744.0
4. Tiền trả nợ gốc thuê tài chính,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 4. Tiền trả nợ gốc thuê tài chính,4. Tiền trả nợ gốc thuê tài chính,35,(38.634.958.934),(52.751.025.649),35.0,-38634958934.0,-52751025649.0
"5. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 5. Cổ tức, lợi nhuận đã trả cho chủ sở hữu","5. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(5.519.637.734.500),(8.123.284.760.000),36.0,-5519637734500.0,-8123284760000.0
6. Chuyển tiền quyết toán lượng khí trên bao tiêu,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > 6. Chuyển tiền quyết toán lượng khí trên bao tiêu,6. Chuyển tiền quyết toán lượng khí trên bao tiêu,,-,(582.827.540.832),,,-582827540832.0
Lưu chuyển tiền thuần từ hoạt động tài chính,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(7.199.651.104.972),(8.655.151.888.645),40.0,-7199651104972.0,-8655151888645.0
Lưu chuyển tiền thuần trong năm (50=20+30+40),III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Lưu chuyển tiền thuần trong năm (50=20+30+40),Lưu chuyển tiền thuần trong năm (50=20+30+40),50,(6.331.387.225.695),5.786.446.131.239,50.0,-6331387225695.0,5786446131239.0
Tiền và tương đương tiền đầu năm,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,24.080.005.607.944,18.292.997.853.785,60.0,24080005607944.0,18292997853785.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,(285.977.503),561.622.920,61.0,-285977503.0,561622920.0
Tiền và tương đương tiền cuối năm (70=50+60+61),III. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG TÀI CHÍNH > Tiền và tương đương tiền cuối năm (70=50+60+61),Tiền và tương đương tiền cuối năm (70=50+60+61),70,17.748.332.404.746,24.080.005.607.944,70.0,17748332404746.0,24080005607944.0
