row_label_raw,row_label_full,col_0,Kinh doanh khí và các sản phẩm khí,Hoạt động phụ trợ kinh doanh khí và các sản phẩm khí,Loại trừ nội bộ và điều chỉnh,Tổng cộng,numeric__Kinh doanh khí và các sản phẩm khí,numeric__Hoạt động phụ trợ kinh doanh khí và các sản phẩm khí,numeric__Loại trừ nội bộ và điều chỉnh,numeric__Tổng cộng
,,,VND,VND,VND,VND,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,17.653.720.587.559,94.611.817.187,-,17.748.332.404.746,17653720587559.0,94611817187.0,,17748332404746.0
Đầu tư tài chính ngắn hạn,Tài sản > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,6.099.320.000.000,-,-,6.099.320.000.000,6099320000000.0,,,6099320000000.0
Các khoản phải thu ngắn hạn,Tài sản > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,9.744.272.925.856,396.466.145.339,(1.930.892.793.951),8.209.846.277.244,9744272925856.0,396466145339.0,-1930892793951.0,8209846277244.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,1.049.212.187.678,162.985.654.634,-,1.212.197.842.312,1049212187678.0,162985654634.0,,1212197842312.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,532.310.433.256,12.781.609.286,-,545.092.042.542,532310433256.0,12781609286.0,,545092042542.0
Các khoản phải thu dài hạn,Tài sản > Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,24.192.706.552,-,(1.409.856.435),22.782.850.117,24192706552.0,,-1409856435.0,22782850117.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,12.905.800.061.158,1.964.318.450.377,-,14.870.118.511.535,12905800061158.0,1964318450377.0,,14870118511535.0
Tài sản dở dang dài hạn,Tài sản > Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,6.879.911.050.071,6.217.088.616,(287.959.736.449),6.598.168.402.238,6879911050071.0,6217088616.0,-287959736449.0,6598168402238.0
Đầu tư tài chính dài hạn,Tài sản > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,3.022.747.367.641,-,(2.937.005.839.820),85.741.527.821,3022747367641.0,,-2937005839820.0,85741527821.0
Tài sản dài hạn khác,Tài sản > Tài sản dài hạn khác,Tài sản dài hạn khác,846.631.516.442,51.734.344.711,31.196.662.650,929.562.523.803,846631516442.0,51734344711.0,31196662650.0,929562523803.0
Lợi thế thương mại,Tài sản > Lợi thế thương mại,Lợi thế thương mại,18.496.554.237,-,374.947.350.693,393.443.904.930,18496554237.0,,374947350693.0,393443904930.0
Tổng tài sản hợp nhất,Tài sản > Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,58.776.615.390.450,2.689.115.110.150,(4.751.124.213.312),56.714.606.287.288,58776615390450.0,2689115110150.0,-4751124213312.0,56714606287288.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,
Nợ ngắn hạn,Nợ phải trả > Nợ ngắn hạn,Nợ ngắn hạn,10.177.258.489.223,484.351.387.570,(1.659.193.351.413),9.002.416.525.380,10177258489223.0,484351387570.0,-1659193351413.0,9002416525380.0
Nợ dài hạn,Nợ phải trả > Nợ dài hạn,Nợ dài hạn,4.725.442.421.597,54.285.581.517,43.398.876.691,4.823.126.879.805,4725442421597.0,54285581517.0,43398876691.0,4823126879805.0
Tổng nợ phải trả hợp nhất,Nợ phải trả > Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,14.902.700.910.820,538.636.969.087,(1.615.794.474.722),13.825.543.405.185,14902700910820.0,538636969087.0,-1615794474722.0,13825543405185.0
