row_label_raw,row_label_full,col_0,Kinh doanh khí và các sản phẩm khí,Hoạt động phụ trợ kinh doanh khí và các sản phẩm khí,Loại trừ nội bộ và điều chỉnh,Tổng cộng,numeric__Kinh doanh khí và các sản phẩm khí,numeric__Hoạt động phụ trợ kinh doanh khí và các sản phẩm khí,numeric__Loại trừ nội bộ và điều chỉnh,numeric__Tổng cộng
,,,VND,VND,VND,VND,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,23.771.988.277.949,308.017.329.995,-,24.080.005.607.944,23771988277949.0,308017329995.0,,24080005607944.0
Đầu tư tài chính ngắn hạn,Tài sản > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,1.683.875.000.000,-,-,1.683.875.000.000,1683875000000.0,,,1683875000000.0
Các khoản phải thu ngắn hạn,Tài sản > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,8.505.694.282.596,456.015.707.880,(3.843.563.145.166),5.118.146.845.310,8505694282596.0,456015707880.0,-3843563145166.0,5118146845310.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,1.376.649.397.891,634.826.906.201,(150.981.799.512),1.860.494.504.580,1376649397891.0,634826906201.0,-150981799512.0,1860494504580.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,541.088.131.521,7.656.510.048,(2.027.612.261),546.717.029.308,541088131521.0,7656510048.0,-2027612261.0,546717029308.0
Các khoản phải thu dài hạn,Tài sản > Các khoản phải thu dài hạn,Các khoản phải thu dài hạn,26.588.651.540,312.000.000,(1.409.856.435),25.490.795.105,26588651540.0,312000000.0,-1409856435.0,25490795105.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,13.162.090.408.126,2.121.924.848.674,(53.204.169.213),15.230.811.087.587,13162090408126.0,2121924848674.0,-53204169213.0,15230811087587.0
Tài sản dở dang dài hạn,Tài sản > Tài sản dở dang dài hạn,Tài sản dở dang dài hạn,4.054.242.477.459,19.695.470.773,(293.655.567.323),3.780.282.380.909,4054242477459.0,19695470773.0,-293655567323.0,3780282380909.0
Đầu tư tài chính dài hạn,Tài sản > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,3.071.750.993.947,-,(2.984.549.824.825),87.201.169.122,3071750993947.0,,-2984549824825.0,87201169122.0
Tài sản dài hạn khác,Tài sản > Tài sản dài hạn khác,Tài sản dài hạn khác,781.190.819.698,106.628.519.771,11.051.998.595,898.871.338.064,781190819698.0,106628519771.0,11051998595.0,898871338064.0
Lợi thế thương mại,Tài sản > Lợi thế thương mại,Lợi thế thương mại,29.555.598.846,-,449.955.991.330,479.511.590.176,29555598846.0,,449955991330.0,479511590176.0
Tổng tài sản hợp nhất,Tài sản > Tổng tài sản hợp nhất,Tổng tài sản hợp nhất,57.004.714.039.573,3.655.077.293.342,(6.868.383.984.810),53.791.407.348.105,57004714039573.0,3655077293342.0,-6868383984810.0,53791407348105.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,
Nợ ngắn hạn,Nợ phải trả > Nợ ngắn hạn,Nợ ngắn hạn,13.115.310.258.521,1.202.681.959.454,(3.897.961.632.859),10.420.030.585.116,13115310258521.0,1202681959454.0,-3897961632859.0,10420030585116.0
Nợ dài hạn,Nợ phải trả > Nợ dài hạn,Nợ dài hạn,5.364.997.866.299,375.293.787.229,(48.263.451.140),5.692.028.202.388,5364997866299.0,375293787229.0,-48263451140.0,5692028202388.0
Tổng nợ phải trả hợp nhất,Nợ phải trả > Tổng nợ phải trả hợp nhất,Tổng nợ phải trả hợp nhất,18.480.308.124.820,1.577.975.746.683,(3.946.225.083.999),16.112.058.787.504,18480308124820.0,1577975746683.0,-3946225083999.0,16112058787504.0
