row_label_raw,row_label_full,col_0,Năm 2015Số năm,numeric__Năm 2015Số năm
"Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc","Nhà cửa, vật kiến trúc",4 - 25,
"Máy móc, thiết bị","Máy móc, thiết bị","Máy móc, thiết bị",3 - 20,
Phương tiện vận tải và thiết bị truyền dẫn,Phương tiện vận tải và thiết bị truyền dẫn,Phương tiện vận tải và thiết bị truyền dẫn,3 - 12,
Thiết bị văn phòng,Thiết bị văn phòng,Thiết bị văn phòng,3 - 10,
Tài sản cố định khác,Tài sản cố định khác,Tài sản cố định khác,3 - 20,
