row_label_raw,row_label_full,Mã số,Năm 2014(VND),numeric__Năm 2014(VND)
01,01,01,73.548.625.920.930 Trình bày lại,
02,02,02,173.479.716.511 Trình bày lại,
11,11,11,53.231.657.394.562 Trình bày lại,
21,21,21,1.168.755.042.079 Trình bày lại,
22,22,22,521.986.522.712 Trình bày lại,
26,26,26,1.390.206.066.144 Trình bày lại,
31,31,31,36.111.303.368 Trình bày lại,
32,32,32,48.026.518.733 Trình bày lại,
51,51,51,3.650.242.219.392 Trình bày lại,
60,60,60,14.360.825.183.630 Trình bày lại,
61,61,61,14.113.678.170.889 Trình bày lại,
70,70,70,6.985 Trình bày lại,
