row_label_raw,row_label_full,col_0,"Máy móc,thiết bịVND",Phương tiệnvận tảiVND,Tổng cộngVND,"numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận tảiVND,numeric__Tổng cộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,
Tại ngày 01/01/2015,NGUYÊN GIÁ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,227.179.017.298,1.521.235.000,228.700.252.298,227179017298.0,1521235000.0,228700252298.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,22.139.223.350,-,22.139.223.350,22139223350.0,,22139223350.0
Chuyển sang Tài sảncố định hữu hình,NGUYÊN GIÁ > Chuyển sang Tài sảncố định hữu hình,Chuyển sang Tài sảncố định hữu hình,(47.933.998.993),-,(47.933.998.993),-47933998993.0,,-47933998993.0
Tại ngày 31/12/2015,NGUYÊN GIÁ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,201.384.241.655,1.521.235.000,202.905.476.655,201384241655.0,1521235000.0,202905476655.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,
Tại ngày 01/01/2015,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 01/01/2015,Tại ngày 01/01/2015,133.234.163.373,1.521.235.000,134.755.398.373,133234163373.0,1521235000.0,134755398373.0
Khấu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,48.619.094.037,-,48.619.094.037,48619094037.0,,48619094037.0
Chuyển sang tài sảncố định hữu hình,GIÁ TRỊ HAO MÒN LỦY KẾ > Chuyển sang tài sảncố định hữu hình,Chuyển sang tài sảncố định hữu hình,(47.933.998.993),-,(47.933.998.993),-47933998993.0,,-47933998993.0
Tại ngày 31/12/2015,GIÁ TRỊ HAO MÒN LỦY KẾ > Tại ngày 31/12/2015,Tại ngày 31/12/2015,133.919.258.417,1.521.235.000,135.440.493.417,133919258417.0,1521235000.0,135440493417.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,
Tại ngày 31/12/2015,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2015,Tại ngày 31/12/2015,67.464.983.238,-,67.464.983.238,67464983238.0,,67464983238.0
Tại ngày 31/12/2014,GIÁ TRỊ CÒN LẠI > Tại ngày 31/12/2014,Tại ngày 31/12/2014,93.944.853.925,-,93.944.853.925,93944853925.0,,93944853925.0
