row_label_raw,row_label_full,TÀI SẢN,Mã số,Thuyết minh,31/12/2015,MẦU SỐ B 01-DN/HN Đơn vị: VND31/12/2014(Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2015,numeric__MẦU SỐ B 01-DN/HN Đơn vị: VND31/12/2014(Trình bày lại)
A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,A. TÀI SẢN NGĂN HẠN,100,,33.814.788.566.844,33.289.238.987.142,100.0,,33814788566844.0,33289238987142.0
I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,I. Tiền và các khoản tương đương tiền,110,5,17.748.332.404.746,24.080.005.607.944,110.0,5.0,17748332404746.0,24080005607944.0
1. Tiền,1. Tiền,1. Tiền,111,,2.147.732.019.635,4.855.353.568.912,111.0,,2147732019635.0,4855353568912.0
2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,2. Các khoản tương đương tiền,112,,15.600.600.385.111,19.224.652.039.032,112.0,,15600600385111.0,19224652039032.0
II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,II. Đầu tư tài chính ngắn hạn,120,6,6.099.320.000.000,1.683.875.000.000,120.0,6.0,6099320000000.0,1683875000000.0
1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,1. Đầu tư nắm giữ đến ngày đáo hạn,123,,6.099.320.000.000,1.683.875.000.000,123.0,,6099320000000.0,1683875000000.0
III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,III. Các khoản phải thu ngắn hạn,130,,8.209.846.277.244,5.118.146.845.310,130.0,,8209846277244.0,5118146845310.0
1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,1. Phải thu ngắn hạn của khách hàng,131,7,3.310.931.705.919,4.227.147.634.336,131.0,7.0,3310931705919.0,4227147634336.0
2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,2. Trả trước cho người bán ngắn hạn,132,8,927.894.847.686,631.737.398.040,132.0,8.0,927894847686.0,631737398040.0
3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,3. Phải thu ngắn hạn khác,136,9,4.064.220.566.010,356.090.051.057,136.0,9.0,4064220566010.0,356090051057.0
4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,4. Dự phòng phải thu ngắn hạn khó đòi,137,10,(93.200.842.371),(97.014.584.555),137.0,10.0,-93200842371.0,-97014584555.0
5. Tài sản thiếu chờ xử lý,5. Tài sản thiếu chờ xử lý,5. Tài sản thiếu chờ xử lý,139,,-,186.346.432,139.0,,,186346432.0
IV. Hàng tồn kho,IV. Hàng tồn kho,IV. Hàng tồn kho,140,11,1.212.197.842.312,1.860.494.504.580,140.0,11.0,1212197842312.0,1860494504580.0
1. Hàng tồn kho,1. Hàng tồn kho,1. Hàng tồn kho,141,,1.304.391.246.249,1.936.137.670.317,141.0,,1304391246249.0,1936137670317.0
2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,2. Dự phòng giảm giá hàng tồn kho,149,,(92.193.403.937),(75.643.165.737),149.0,,-92193403937.0,-75643165737.0
V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,V. Tài sản ngắn hạn khác,150,,545.092.042.542,546.717.029.308,150.0,,545092042542.0,546717029308.0
1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,1. Chi phí trả trước ngắn hạn,151,12,138.011.276.268,159.046.970.613,151.0,12.0,138011276268.0,159046970613.0
2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,2. Thuế giá trị gia tăng được khấu trừ,152,,333.286.538.325,348.394.101.230,152.0,,333286538325.0,348394101230.0
3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,3. Thuế và các khoản khác phải thu Nhà nước,153,21,73.794.227.949,39.275.957.465,153.0,21.0,73794227949.0,39275957465.0
B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,B. TÀI SẢN DÀI HẠN,200,,22.899.817.720.444,20.502.168.360.963,200.0,,22899817720444.0,20502168360963.0
I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,I. Các khoản phải thu dài hạn,210,,22.782.850.117,25.490.795.105,210.0,,22782850117.0,25490795105.0
1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,1. Phải thu dài hạn khác,216,9,22.782.850.117,25.490.795.105,216.0,9.0,22782850117.0,25490795105.0
II. Tài sản cố định,II. Tài sản cố định,II. Tài sản cố định,220,,14.870.118.511.535,15.230.811.087.587,220.0,,14870118511535.0,15230811087587.0
1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,1. Tài sản cố định hữu hình,221,13,14.444.685.150.041,14.778.107.841.990,221.0,13.0,14444685150041.0,14778107841990.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,222,,37.681.016.707.046,35.015.948.305.693,222.0,,37681016707046.0,35015948305693.0
- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,- Giá trị hao mòn lũy kế,223,,(23.236.331.557.005),(20.237.840.463.703),223.0,,-23236331557005.0,-20237840463703.0
2. Tài sản cố định thuê tài chính,2. Tài sản cố định thuê tài chính,2. Tài sản cố định thuê tài chính,224,14,67.464.983.238,93.944.853.925,224.0,14.0,67464983238.0,93944853925.0
- Nguyên giá,- Nguyên giá,- Nguyên giá,225,,202.905.476.655,228.700.252.298,225.0,,202905476655.0,228700252298.0
