row_label_raw,row_label_full,CHỈ TIÊU,Mã số,Thuyết minh,Năm 2015,Năm 2014(Trình bày lại),numeric__Mã số,numeric__Thuyết minh,numeric__Năm 2015,numeric__Năm 2014(Trình bày lại)
1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,1. Doanh thu bán hàng và cung cấp dịch vụ,01,,64.509.114.172.646,73.548.625.920.930,1.0,,64509114172646.0,73548625920930.0
2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,2. Các khoản giảm trừ doanh thu,02,,208.910.134.361,173.479.716.511,2.0,,208910134361.0,173479716511.0
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),10,30,64.300.204.038.285,73.375.146.204.419,10.0,30.0,64300204038285.0,73375146204419.0
4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,4. Giá vốn hàng bán và dịch vụ cung cấp,11,31,50.903.608.817.829,53.231.657.394.562,11.0,31.0,50903608817829.0,53231657394562.0
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),20,,13.396.595.220.456,20.143.488.809.857,20.0,,13396595220456.0,20143488809857.0
6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,6. Doanh thu hoạt động tài chính,21,32,1.096.546.341.436,1.168.755.042.079,21.0,32.0,1096546341436.0,1168755042079.0
7. Chi phí tài chính,7. Chi phí tài chính,7. Chi phí tài chính,22,33,644.194.031.699,521.986.522.712,22.0,33.0,644194031699.0,521986522712.0
- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,- Trong đó: Chi phí lãi vay,23,,192.515.313.041,365.715.353.306,23.0,,192515313041.0,365715353306.0
8. Phần lãi trong công ty liên kết,8. Phần lãi trong công ty liên kết,8. Phần lãi trong công ty liên kết,24,,1.981.123.472,3.497.901.222,24.0,,1981123472.0,3497901222.0
9. Chi phí bán hàng,9. Chi phí bán hàng,9. Chi phí bán hàng,25,34,1.729.017.467.247,1.412.303.065.766,25.0,34.0,1729017467247.0,1412303065766.0
10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,10. Chi phí quản lý doanh nghiệp,26,34,1.002.792.079.242,1.390.206.066.144,26.0,34.0,1002792079242.0,1390206066144.0
11. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),11. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),11. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),30,,11.119.119.107.176,17.991.246.098.536,30.0,,11119119107176.0,17991246098536.0
12. Thu nhập khác,12. Thu nhập khác,12. Thu nhập khác,31,35,140.203.743.456,36.111.303.368,31.0,35.0,140203743456.0,36111303368.0
13. Chi phí khác,13. Chi phí khác,13. Chi phí khác,32,36,60.688.270.425,48.026.518.733,32.0,36.0,60688270425.0,48026518733.0
14. Lợi nhuận/(lỗ) khác (40=31-32),14. Lợi nhuận/(lỗ) khác (40=31-32),14. Lợi nhuận/(lỗ) khác (40=31-32),40,,79.515.473.031,(11.915.215.365),40.0,,79515473031.0,-11915215365.0
15. Tổng lợi nhuận kế toán trước thuế (50=30+40),15. Tổng lợi nhuận kế toán trước thuế (50=30+40),15. Tổng lợi nhuận kế toán trước thuế (50=30+40),50,,11.198.634.580.207,17.979.330.883.171,50.0,,11198634580207.0,17979330883171.0
16. Chi phí thuế thu nhập doanh nghiệp hiện hành,16. Chi phí thuế thu nhập doanh nghiệp hiện hành,16. Chi phí thuế thu nhập doanh nghiệp hiện hành,51,37,2.378.039.202.544,3.650.242.219.392,51.0,37.0,2378039202544.0,3650242219392.0
17. (Thu nhập) thuế thu nhập doanh nghiệp hoãn lại,17. (Thu nhập) thuế thu nhập doanh nghiệp hoãn lại,17. (Thu nhập) thuế thu nhập doanh nghiệp hoãn lại,52,,(11.530.540.814),(31.736.519.851),52.0,,-11530540814.0,-31736519851.0
18. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),18. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),18. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),60,,8.832.125.918.477,14.360.825.183.630,60.0,,8832125918477.0,14360825183630.0
18.1. Lợi nhuận sau thuế của Công ty mẹ,18.1. Lợi nhuận sau thuế của Công ty mẹ,18.1. Lợi nhuận sau thuế của Công ty mẹ,61,,8.533.695.412.604,14.113.678.170.889,61.0,,8533695412604.0,14113678170889.0
18.2. Lợi nhuận sau thuế của cổ đông không kiểm soát,18.2. Lợi nhuận sau thuế của cổ đông không kiểm soát,18.2. Lợi nhuận sau thuế của cổ đông không kiểm soát,62,,298.430.505.873,247.147.012.741,62.0,,298430505873.0,247147012741.0
19. Lãi cơ bản trên cổ phiếu,19. Lãi cơ bản trên cổ phiếu,19. Lãi cơ bản trên cổ phiếu,70,38,4.400,6.985,70.0,38.0,4400.0,6985.0
